matrix_column	gene_id	gene_id_without_version	gene_name	gene_type	is_protein_coding
0	ENSG00000000003.15	ENSG00000000003	TSPAN6	protein_coding	1
1	ENSG00000000005.6	ENSG00000000005	TNMD	protein_coding	1
2	ENSG00000000419.13	ENSG00000000419	DPM1	protein_coding	1
3	ENSG00000000457.14	ENSG00000000457	SCYL3	protein_coding	1
4	ENSG00000000460.17	ENSG00000000460	C1orf112	protein_coding	1
5	ENSG00000000938.13	ENSG00000000938	FGR	protein_coding	1
6	ENSG00000000971.16	ENSG00000000971	CFH	protein_coding	1
7	ENSG00000001036.14	ENSG00000001036	FUCA2	protein_coding	1
8	ENSG00000001084.13	ENSG00000001084	GCLC	protein_coding	1
9	ENSG00000001167.14	ENSG00000001167	NFYA	protein_coding	1
10	ENSG00000001460.18	ENSG00000001460	STPG1	protein_coding	1
11	ENSG00000001461.17	ENSG00000001461	NIPAL3	protein_coding	1
12	ENSG00000001497.18	ENSG00000001497	LAS1L	protein_coding	1
13	ENSG00000001561.7	ENSG00000001561	ENPP4	protein_coding	1
14	ENSG00000001617.12	ENSG00000001617	SEMA3F	protein_coding	1
15	ENSG00000001626.16	ENSG00000001626	CFTR	protein_coding	1
16	ENSG00000001629.10	ENSG00000001629	ANKIB1	protein_coding	1
17	ENSG00000001630.17	ENSG00000001630	CYP51A1	protein_coding	1
18	ENSG00000001631.16	ENSG00000001631	KRIT1	protein_coding	1
19	ENSG00000002016.18	ENSG00000002016	RAD52	protein_coding	1
20	ENSG00000002079.14	ENSG00000002079	MYH16	transcribed_unitary_pseudogene	0
21	ENSG00000002330.14	ENSG00000002330	BAD	protein_coding	1
22	ENSG00000002549.12	ENSG00000002549	LAP3	protein_coding	1
23	ENSG00000002586.20	ENSG00000002586	CD99	protein_coding	1
24	ENSG00000002586.20_PAR_Y	ENSG00000002586	CD99	protein_coding	1
25	ENSG00000002587.10	ENSG00000002587	HS3ST1	protein_coding	1
26	ENSG00000002726.21	ENSG00000002726	AOC1	protein_coding	1
27	ENSG00000002745.13	ENSG00000002745	WNT16	protein_coding	1
28	ENSG00000002746.15	ENSG00000002746	HECW1	protein_coding	1
