case_barcode	gdc_star_counts_file_count	gdc_sample_barcodes
TCGA-5L-AAT1	1	TCGA-5L-AAT1-01A
TCGA-A1-A0SM	1	TCGA-A1-A0SM-01A
TCGA-A2-A0CO	1	TCGA-A2-A0CO-01A
TCGA-A2-A0CY	1	TCGA-A2-A0CY-01A
TCGA-A2-A0CZ	1	TCGA-A2-A0CZ-01A
TCGA-A2-A3KC	1	TCGA-A2-A3KC-01A
TCGA-A2-A3XS	1	TCGA-A2-A3XS-01A
TCGA-A2-A3XY	1	TCGA-A2-A3XY-01A
TCGA-A2-A4RW	1	TCGA-A2-A4RW-01A
TCGA-A2-A4RX	1	TCGA-A2-A4RX-01A
TCGA-A2-A4RY	1	TCGA-A2-A4RY-01A
TCGA-A2-A4S0	1	TCGA-A2-A4S0-01A
TCGA-A7-A0DC	2	TCGA-A7-A0DC-01A;TCGA-A7-A0DC-01B
TCGA-A7-A13H	1	TCGA-A7-A13H-01A
TCGA-A7-A3IY	1	TCGA-A7-A3IY-01A
TCGA-A7-A3IZ	1	TCGA-A7-A3IZ-01A
TCGA-A7-A3J0	1	TCGA-A7-A3J0-01A
TCGA-A7-A3J1	1	TCGA-A7-A3J1-01A
TCGA-A7-A426	1	TCGA-A7-A426-01A
TCGA-A7-A4SA	1	TCGA-A7-A4SA-01A
TCGA-A7-A4SB	1	TCGA-A7-A4SB-01A
TCGA-A7-A4SC	1	TCGA-A7-A4SC-01A
TCGA-A7-A4SF	1	TCGA-A7-A4SF-01A
TCGA-A8-A07C	1	TCGA-A8-A07C-01A
TCGA-A8-A07R	1	TCGA-A8-A07R-01A
TCGA-A8-A07S	1	TCGA-A8-A07S-01A
TCGA-A8-A084	1	TCGA-A8-A084-01A
TCGA-A8-A085	1	TCGA-A8-A085-01A
TCGA-A8-A08C	1	TCGA-A8-A08C-01A
TCGA-A8-A08F	1	TCGA-A8-A08F-01A
TCGA-A8-A08S	1	TCGA-A8-A08S-01A
TCGA-A8-A09E	1	TCGA-A8-A09E-01A
TCGA-A8-A09K	1	TCGA-A8-A09K-01A
TCGA-AC-A23G	1	TCGA-AC-A23G-01A
TCGA-AC-A2FE	1	TCGA-AC-A2FE-01A
TCGA-AC-A2FM	1	TCGA-AC-A2FM-01A
TCGA-AC-A2QI	1	TCGA-AC-A2QI-01A
TCGA-AC-A2QJ	1	TCGA-AC-A2QJ-01A
TCGA-AC-A3BB	1	TCGA-AC-A3BB-01A
TCGA-AC-A3EH	1	TCGA-AC-A3EH-01A
TCGA-AC-A3TM	1	TCGA-AC-A3TM-01A
TCGA-AC-A3TN	1	TCGA-AC-A3TN-01A
TCGA-AC-A3W6	1	TCGA-AC-A3W6-01A
TCGA-AC-A3W7	1	TCGA-AC-A3W7-01A
TCGA-AC-A62V	1	TCGA-AC-A62V-01A
TCGA-AN-A0G0	1	TCGA-AN-A0G0-01A
TCGA-AO-A0JL	1	TCGA-AO-A0JL-01A
TCGA-AO-A12C	1	TCGA-AO-A12C-01A
TCGA-AO-A1KQ	1	TCGA-AO-A1KQ-01A
TCGA-AQ-A04L	1	TCGA-AQ-A04L-01B
TCGA-AQ-A54N	1	TCGA-AQ-A54N-01A
TCGA-AQ-A54O	1	TCGA-AQ-A54O-01A
TCGA-AR-A0TU	1	TCGA-AR-A0TU-01A
TCGA-AR-A1AM	1	TCGA-AR-A1AM-01A
TCGA-AR-A1AT	1	TCGA-AR-A1AT-01A
TCGA-AR-A1AV	1	TCGA-AR-A1AV-01A
TCGA-AR-A2LJ	1	TCGA-AR-A2LJ-01A
TCGA-AR-A2LL	1	TCGA-AR-A2LL-01A
TCGA-AR-A2LR	1	TCGA-AR-A2LR-01A
TCGA-B6-A0I6	1	TCGA-B6-A0I6-01A
TCGA-B6-A0I8	1	TCGA-B6-A0I8-01A
TCGA-B6-A3ZX	1	TCGA-B6-A3ZX-01A
TCGA-B6-A400	1	TCGA-B6-A400-01A
TCGA-B6-A402	1	TCGA-B6-A402-01A
TCGA-B6-A408	1	TCGA-B6-A408-01A
TCGA-BH-A0B1	1	TCGA-BH-A0B1-01A
TCGA-BH-A0B2	1	TCGA-BH-A0B2-01A
TCGA-BH-A0B4	1	TCGA-BH-A0B4-01A
TCGA-BH-A0B6	1	TCGA-BH-A0B6-01A
TCGA-BH-A0B8	1	TCGA-BH-A0B8-01A
TCGA-BH-A0DD	1	TCGA-BH-A0DD-01A
TCGA-BH-A0HF	1	TCGA-BH-A0HF-01A
TCGA-BH-A0HL	1	TCGA-BH-A0HL-01A
TCGA-BH-A0HN	1	TCGA-BH-A0HN-01A
TCGA-BH-A1ES	1	TCGA-BH-A1ES-01A
TCGA-BH-A1F5	1	TCGA-BH-A1F5-01A
TCGA-BH-A1FB	1	TCGA-BH-A1FB-01A
TCGA-BH-A28O	1	TCGA-BH-A28O-01A
TCGA-BH-A42T	1	TCGA-BH-A42T-01A
TCGA-D8-A146	1	TCGA-D8-A146-01A
TCGA-D8-A1XD	1	TCGA-D8-A1XD-01A
TCGA-D8-A1XS	1	TCGA-D8-A1XS-01A
TCGA-D8-A3Z5	1	TCGA-D8-A3Z5-01A
TCGA-E2-A106	1	TCGA-E2-A106-01A
TCGA-E2-A10E	1	TCGA-E2-A10E-01A
TCGA-E2-A14S	1	TCGA-E2-A14S-01A
TCGA-E2-A14U	1	TCGA-E2-A14U-01A
TCGA-E2-A14W	1	TCGA-E2-A14W-01A
TCGA-E2-A1LE	1	TCGA-E2-A1LE-01A
TCGA-E2-A1LS	1	TCGA-E2-A1LS-01A
TCGA-E2-A2P5	1	TCGA-E2-A2P5-01A
TCGA-E2-A3DX	1	TCGA-E2-A3DX-01A
TCGA-E2-A572	1	TCGA-E2-A572-01A
TCGA-E9-A1N6	1	TCGA-E9-A1N6-01A
TCGA-E9-A3Q9	1	TCGA-E9-A3Q9-01A
TCGA-E9-A54X	1	TCGA-E9-A54X-01A
TCGA-E9-A5UP	1	TCGA-E9-A5UP-01A
TCGA-EW-A1OW	1	TCGA-EW-A1OW-01A
TCGA-EW-A1PC	1	TCGA-EW-A1PC-01B
TCGA-EW-A1PD	1	TCGA-EW-A1PD-01A
TCGA-EW-A1PF	1	TCGA-EW-A1PF-01A
TCGA-EW-A3E8	1	TCGA-EW-A3E8-01B
TCGA-EW-A3U0	1	TCGA-EW-A3U0-01A
TCGA-EW-A424	1	TCGA-EW-A424-01A
TCGA-EW-A6SA	1	TCGA-EW-A6SA-01A
TCGA-GI-A2C9	1	TCGA-GI-A2C9-01A
TCGA-GM-A3NY	1	TCGA-GM-A3NY-01A
TCGA-GM-A3XG	1	TCGA-GM-A3XG-01A
TCGA-GM-A3XN	1	TCGA-GM-A3XN-01A
TCGA-JL-A3YW	1	TCGA-JL-A3YW-01A
TCGA-LL-A441	1	TCGA-LL-A441-01A
TCGA-LL-A442	1	TCGA-LL-A442-01A
TCGA-LQ-A4E4	1	TCGA-LQ-A4E4-01A
