source_order	source_symbol	current_symbol	entrez_gene_id	matrix_column	gene_id	gene_id_without_version	gene_type	alias_resolution
1	ACTR3B	ACTR3B	57180	6772	ENSG00000133627.18	ENSG00000133627	protein_coding	direct_symbol_match
2	ANLN	ANLN	54443	298	ENSG00000011426.11	ENSG00000011426	protein_coding	direct_symbol_match
3	BAG1	BAG1	573	3403	ENSG00000107262.26	ENSG00000107262	protein_coding	direct_symbol_match
4	BCL2	BCL2	596	13138	ENSG00000171791.14	ENSG00000171791	protein_coding	direct_symbol_match
5	BIRC5	BIRC5	332	1847	ENSG00000089685.15	ENSG00000089685	protein_coding	direct_symbol_match
6	BLVRA	BLVRA	644	3333	ENSG00000106605.11	ENSG00000106605	protein_coding	direct_symbol_match
7	CCNB1	CCNB1	891	6827	ENSG00000134057.15	ENSG00000134057	protein_coding	direct_symbol_match
8	CCNE1	CCNE1	898	3043	ENSG00000105173.14	ENSG00000105173	protein_coding	direct_symbol_match
9	CDC20	CDC20	991	4700	ENSG00000117399.14	ENSG00000117399	protein_coding	direct_symbol_match
10	CDC6	CDC6	990	2006	ENSG00000094804.12	ENSG00000094804	protein_coding	direct_symbol_match
11	CDCA1	NUF2	83540	8345	ENSG00000143228.13	ENSG00000143228	protein_coding	CDCA1->NUF2
12	CDH3	CDH3	1001	837	ENSG00000062038.14	ENSG00000062038	protein_coding	direct_symbol_match
13	CENPF	CENPF	1063	4753	ENSG00000117724.13	ENSG00000117724	protein_coding	direct_symbol_match
14	CEP55	CEP55	55165	7627	ENSG00000138180.16	ENSG00000138180	protein_coding	direct_symbol_match
15	CXXC5	CXXC5	51523	13100	ENSG00000171604.12	ENSG00000171604	protein_coding	direct_symbol_match
16	EGFR	EGFR	1956	8865	ENSG00000146648.19	ENSG00000146648	protein_coding	direct_symbol_match
17	ERBB2	ERBB2	2064	8162	ENSG00000141736.14	ENSG00000141736	protein_coding	direct_symbol_match
18	ESR1	ESR1	2099	1943	ENSG00000091831.24	ENSG00000091831	protein_coding	direct_symbol_match
19	EXO1	EXO1	9156	13677	ENSG00000174371.17	ENSG00000174371	protein_coding	direct_symbol_match
20	FGFR4	FGFR4	2264	10541	ENSG00000160867.15	ENSG00000160867	protein_coding	direct_symbol_match
21	FOXA1	FOXA1	3169	6150	ENSG00000129514.8	ENSG00000129514	protein_coding	direct_symbol_match
22	FOXC1	FOXC1	2296	730	ENSG00000054598.9	ENSG00000054598	protein_coding	direct_symbol_match
23	GPR160	GPR160	26996	13598	ENSG00000173890.17	ENSG00000173890	protein_coding	direct_symbol_match
24	GRB7	GRB7	2886	8163	ENSG00000141738.14	ENSG00000141738	protein_coding	direct_symbol_match
25	KIF2C	KIF2C	11004	8294	ENSG00000142945.13	ENSG00000142945	protein_coding	direct_symbol_match
26	KNTC2	NDC80	10403	1516	ENSG00000080986.13	ENSG00000080986	protein_coding	KNTC2->NDC80
27	KRT14	KRT14	3861	16335	ENSG00000186847.6	ENSG00000186847	protein_coding	direct_symbol_match
28	KRT17	KRT17	3872	6022	ENSG00000128422.17	ENSG00000128422	protein_coding	direct_symbol_match
29	KRT5	KRT5	3852	16147	ENSG00000186081.12	ENSG00000186081	protein_coding	direct_symbol_match
30	MAPT	MAPT	4137	16341	ENSG00000186868.16	ENSG00000186868	protein_coding	direct_symbol_match
31	MDM2	MDM2	4193	7129	ENSG00000135679.25	ENSG00000135679	protein_coding	direct_symbol_match
32	MELK	MELK	9833	11569	ENSG00000165304.8	ENSG00000165304	protein_coding	direct_symbol_match
33	MIA	MIA	8190	46936	ENSG00000261857.7	ENSG00000261857	protein_coding	direct_symbol_match
34	MKI67	MKI67	4288	9131	ENSG00000148773.14	ENSG00000148773	protein_coding	direct_symbol_match
35	MLPH	MLPH	79083	4464	ENSG00000115648.14	ENSG00000115648	protein_coding	direct_symbol_match
36	MMP11	MMP11	4320	2140	ENSG00000099953.10	ENSG00000099953	protein_coding	direct_symbol_match
37	MYBL2	MYBL2	4605	2431	ENSG00000101057.16	ENSG00000101057	protein_coding	direct_symbol_match
38	MYC	MYC	4609	7392	ENSG00000136997.21	ENSG00000136997	protein_coding	direct_symbol_match
39	NAT1	NAT1	9	13046	ENSG00000171428.15	ENSG00000171428	protein_coding	direct_symbol_match
40	ORC6L	ORC6	23594	1938	ENSG00000091651.9	ENSG00000091651	protein_coding	ORC6L->ORC6
41	PGR	PGR	5241	1559	ENSG00000082175.15	ENSG00000082175	protein_coding	direct_symbol_match
42	PHGDH	PHGDH	26227	1979	ENSG00000092621.13	ENSG00000092621	protein_coding	direct_symbol_match
43	PTTG1	PTTG1	9232	11389	ENSG00000164611.13	ENSG00000164611	protein_coding	direct_symbol_match
44	RRM2	RRM2	6241	13157	ENSG00000171848.16	ENSG00000171848	protein_coding	direct_symbol_match
45	SFRP1	SFRP1	6422	2904	ENSG00000104332.12	ENSG00000104332	protein_coding	direct_symbol_match
46	SLC39A6	SLC39A6	25800	8099	ENSG00000141424.13	ENSG00000141424	protein_coding	direct_symbol_match
47	TMEM45B	TMEM45B	120224	9445	ENSG00000151715.8	ENSG00000151715	protein_coding	direct_symbol_match
48	TYMS	TYMS	7298	14164	ENSG00000176890.16	ENSG00000176890	protein_coding	direct_symbol_match
49	UBE2C	UBE2C	11065	13807	ENSG00000175063.17	ENSG00000175063	protein_coding	direct_symbol_match
50	UBE2T	UBE2T	29089	1371	ENSG00000077152.11	ENSG00000077152	protein_coding	direct_symbol_match
