factor	level	subtype	count	row_percent	level_n
Tissue source site	3C	Luminal A	2	50.0	4
Tissue source site	3C	Luminal B	1	25.0	4
Tissue source site	3C	Basal-like	0	0.0	4
Tissue source site	3C	HER2-enriched	1	25.0	4
Tissue source site	3C	Normal-like	0	0.0	4
Tissue source site	4H	Luminal A	1	100.0	1
Tissue source site	4H	Luminal B	0	0.0	1
Tissue source site	4H	Basal-like	0	0.0	1
Tissue source site	4H	HER2-enriched	0	0.0	1
Tissue source site	4H	Normal-like	0	0.0	1
Tissue source site	5L	Luminal A	1	100.0	1
Tissue source site	5L	Luminal B	0	0.0	1
Tissue source site	5L	Basal-like	0	0.0	1
Tissue source site	5L	HER2-enriched	0	0.0	1
Tissue source site	5L	Normal-like	0	0.0	1
Tissue source site	5T	Luminal A	0	0.0	1
Tissue source site	5T	Luminal B	1	100.0	1
Tissue source site	5T	Basal-like	0	0.0	1
Tissue source site	5T	HER2-enriched	0	0.0	1
Tissue source site	5T	Normal-like	0	0.0	1
Tissue source site	A1	Luminal A	7	53.84615384615385	13
Tissue source site	A1	Luminal B	2	15.384615384615385	13
Tissue source site	A1	Basal-like	3	23.076923076923077	13
Tissue source site	A1	HER2-enriched	0	0.0	13
Tissue source site	A1	Normal-like	1	7.6923076923076925	13
Tissue source site	A2	Luminal A	40	43.47826086956522	92
Tissue source site	A2	Luminal B	18	19.565217391304348	92
Tissue source site	A2	Basal-like	21	22.82608695652174	92
Tissue source site	A2	HER2-enriched	8	8.695652173913043	92
Tissue source site	A2	Normal-like	5	5.434782608695652	92
Tissue source site	A7	Luminal A	14	45.16129032258065	31
Tissue source site	A7	Luminal B	4	12.903225806451612	31
Tissue source site	A7	Basal-like	13	41.935483870967744	31
Tissue source site	A7	HER2-enriched	0	0.0	31
Tissue source site	A7	Normal-like	0	0.0	31
Tissue source site	A8	Luminal A	34	45.945945945945944	74
Tissue source site	A8	Luminal B	27	36.486486486486484	74
Tissue source site	A8	Basal-like	3	4.054054054054054	74
Tissue source site	A8	HER2-enriched	9	12.162162162162161	74
Tissue source site	A8	Normal-like	1	1.3513513513513513	74
Tissue source site	AC	Luminal A	22	62.857142857142854	35
Tissue source site	AC	Luminal B	2	5.714285714285714	35
Tissue source site	AC	Basal-like	6	17.142857142857142	35
Tissue source site	AC	HER2-enriched	3	8.571428571428571	35
Tissue source site	AC	Normal-like	2	5.714285714285714	35
Tissue source site	AN	Luminal A	21	55.26315789473684	38
Tissue source site	AN	Luminal B	7	18.42105263157895	38
Tissue source site	AN	Basal-like	8	21.05263157894737	38
Tissue source site	AN	HER2-enriched	2	5.2631578947368425	38
Tissue source site	AN	Normal-like	0	0.0	38
Tissue source site	AO	Luminal A	19	43.18181818181818	44
Tissue source site	AO	Luminal B	10	22.727272727272727	44
Tissue source site	AO	Basal-like	7	15.909090909090908	44
Tissue source site	AO	HER2-enriched	3	6.818181818181818	44
Tissue source site	AO	Normal-like	5	11.363636363636363	44
Tissue source site	AQ	Luminal A	4	66.66666666666667	6
Tissue source site	AQ	Luminal B	1	16.666666666666668	6
Tissue source site	AQ	Basal-like	1	16.666666666666668	6
Tissue source site	AQ	HER2-enriched	0	0.0	6
Tissue source site	AQ	Normal-like	0	0.0	6
Tissue source site	AR	Luminal A	28	45.16129032258065	62
Tissue source site	AR	Luminal B	14	22.580645161290324	62
Tissue source site	AR	Basal-like	14	22.580645161290324	62
Tissue source site	AR	HER2-enriched	3	4.838709677419355	62
Tissue source site	AR	Normal-like	3	4.838709677419355	62
Tissue source site	B6	Luminal A	28	53.84615384615385	52
Tissue source site	B6	Luminal B	8	15.384615384615385	52
Tissue source site	B6	Basal-like	11	21.153846153846153	52
Tissue source site	B6	HER2-enriched	4	7.6923076923076925	52
Tissue source site	B6	Normal-like	1	1.9230769230769231	52
