component	explained_variance	explained_variance_ratio	cumulative_explained_variance_ratio
PC1	181.36612	0.18136612	0.18136612
PC2	82.3082	0.082308196	0.26367432
PC3	41.29146	0.041291457	0.30496576
PC4	31.799284	0.031799283	0.33676505
PC5	29.865585	0.029865585	0.36663064
PC6	23.744455	0.023744455	0.3903751
PC7	22.313879	0.02231388	0.412689
PC8	19.904146	0.019904146	0.43259314
PC9	16.72168	0.016721679	0.4493148
PC10	13.562066	0.0135620665	0.46287686
PC11	12.231781	0.012231781	0.47510862
PC12	11.531637	0.011531637	0.48664027
PC13	10.388569	0.010388569	0.49702886
PC14	9.6322975	0.009632298	0.5066612
PC15	9.4071665	0.009407166	0.51606834
PC16	8.306748	0.008306748	0.5243751
PC17	7.4581184	0.0074581183	0.5318332
PC18	7.2129135	0.0072129136	0.5390461
PC19	6.9807816	0.0069807814	0.5460269
PC20	6.8579617	0.006857962	0.5528849
