variance_rank	matrix_column	gene_id	gene_name	gene_type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
1	3784	ENSG00000110484.7	SCGB2A2	protein_coding	0.031705525	0.027620476	0.013472594	-0.004216831	0.056540724	0.015580282	0.009642518	-0.005334957	0.008995161	-0.021135679	-0.04263618	0.0049207574	0.04281756	-0.012300289	0.0041005188	0.036144532	-0.113037914	0.038123768	-0.019320766	-0.090945825
2	5603	ENSG00000124935.4	SCGB1D2	protein_coding	0.031579506	0.02454692	0.0024575156	-0.0027993887	0.05023199	0.0074335206	0.011920982	-0.0072689587	0.0069886013	-0.03343401	-0.03757439	-0.0008364426	0.051117852	-0.019624734	-0.0026524453	0.035354756	-0.11502533	0.03053268	-0.010042584	-0.084085196
3	10430	ENSG00000160182.3	TFF1	protein_coding	0.05507142	0.0032422869	-0.0042495625	0.01715821	0.023672441	0.01474543	0.028786317	0.0063780593	0.023719063	-0.037391245	-0.01680481	-0.012918854	-0.06623501	-0.022668414	-0.0075588464	0.047219362	-0.057193853	0.022429455	-0.02373481	-0.037325963
4	10385	ENSG00000159763.4	PIP	protein_coding	0.035958506	0.019534469	0.01315474	-0.0055328524	0.09876608	-0.03615055	0.0033255639	0.00045786775	0.03435168	0.015530229	-0.015239094	0.01804899	0.023251843	0.0069160853	-0.03875611	-0.024417965	0.010270068	-0.0006993468	0.015964981	-0.0030734441
5	9603	ENSG00000153002.12	CPB1	protein_coding	0.02992543	-0.024820099	-0.03047696	0.0034468726	-0.023920272	-0.021568693	-0.012900923	0.05842145	0.06227425	-0.035491124	-0.019818513	0.0025145386	0.051216844	-0.058300015	-0.024448575	-0.018992266	0.04189043	-0.010255614	0.018350836	0.011087625
6	11875	ENSG00000166509.12	CLEC3A	protein_coding	0.023215137	0.000118657306	0.021863263	-0.00505238	0.033839434	-0.034584984	0.025488285	0.01017548	0.00077197945	-0.065007724	0.03580614	-0.010549462	0.050078724	-0.03959888	0.00017493039	-0.053791914	0.02358498	-0.010488169	0.016354388	-0.043617025
7	8426	ENSG00000143556.9	S100A7	protein_coding	-0.022352159	0.017658638	0.045728188	-0.008085676	0.04239117	0.0073391558	0.046715196	0.010982917	0.041081417	0.057972223	0.05548404	0.00033494612	-0.051467877	-0.042313766	0.038481038	-0.014665539	0.03282557	-0.06267767	-0.09156639	-0.01064645
8	13519	ENSG00000173467.9	AGR3	protein_coding	0.06434472	-0.0032155216	-0.01118419	0.008631177	-0.0007883521	-0.0020695825	0.025210185	-0.0044158553	-0.0023646539	-0.024546606	0.0029035914	-0.036175165	-0.0037299446	-0.04430003	-0.0033893771	0.04565417	-0.0082664145	0.011426295	0.0043631266	0.009578701
9	14469	ENSG00000178372.8	CALML5	protein_coding	-0.027575474	0.021276312	0.031786654	-0.0068118116	0.05074567	0.035389576	0.03382003	0.0029316598	0.045639563	-0.050954606	0.00017232649	-0.013765614	-0.047131356	0.04405077	-0.017362025	0.041293275	-0.0030126953	-0.034085806	0.0318448	0.005176005
10	13333	ENSG00000172551.11	MUCL1	protein_coding	0.0049901297	0.037690442	0.03255631	0.026344897	0.079626516	0.050157994	-0.002643243	0.042974107	0.029602401	0.042822447	-0.016188642	-0.004898803	0.020189106	0.036038656	-0.047474686	-0.053794146	-0.03618624	-0.0053725205	0.019355673	-0.023428418
11	10428	ENSG00000160180.15	TFF3	protein_coding	0.057197113	-0.007590504	0.009662387	0.022834554	0.029767476	0.03427193	0.012043831	0.0058457423	0.02093747	-0.03722611	-0.035029832	0.025047358	-0.030970292	-0.023780886	-0.02194494	0.04537374	-0.057052244	0.03175169	0.0029901883	-0.0007609402
12	316	ENSG00000012223.13	LTF	protein_coding	-0.0011518782	0.049220163	-0.0043040835	0.007952263	0.08874711	-0.061164066	0.025704507	0.013493637	0.024761042	0.0035963305	0.0066855345	-0.027227286	-0.024478102	-0.0071307207	0.008416665	-0.058551032	0.024123423	-0.030133415	-0.06972629	0.049855784
13	15066	ENSG00000181617.6	FDCSP	protein_coding	-0.036660284	0.04282546	-0.04314547	0.03195622	0.0019153542	-0.02325147	0.010144456	0.016702246	-0.02548264	0.014733107	-0.035759028	-0.013408016	-0.012577669	-0.026023278	0.00663687	0.012280421	0.0016526678	-0.033912964	-0.027813373	0.04818144
14	16174	ENSG00000186160.5	CYP4Z1	protein_coding	0.030173117	0.033740252	0.022680916	-0.006742955	0.07921846	-0.025552776	6.155177e-05	-0.020198483	-0.04727267	-0.005740004	0.019820243	0.00088595756	0.01941349	-0.0006925757	0.046866953	-0.04935827	0.016661046	-0.021504158	-0.017140998	-0.010610843
15	11258	ENSG00000164128.7	NPY1R	protein_coding	0.031427447	0.0049922136	-0.05592205	-0.028901845	-0.034052093	-0.017481301	0.017202578	0.0034194707	0.009971934	0.007746763	0.007622884	-0.022350382	-0.066772446	0.029327491	-0.007797634	-0.016066955	-0.009749279	0.018991554	-0.029067708	0.051571626
16	3324	ENSG00000106541.12	AGR2	protein_coding	0.060595967	-0.0037960277	0.015847612	0.020668516	0.021572832	0.026131392	0.020328691	0.027527787	0.007238178	-0.0016879376	-0.002253108	-0.026234899	-0.01897963	-0.025115464	0.020734336	0.02221993	-0.044314213	0.016041456	0.022161625	0.010533232
17	7715	ENSG00000138696.11	BMPR1B	protein_coding	0.038690977	-0.010937583	-0.028826043	-0.021997582	-0.013764879	-0.052444927	0.007992347	0.014602244	0.022479253	-0.019289717	0.020992076	-0.00490726	0.030303838	0.031127235	0.02598257	0.015803235	-0.04238809	-0.022984859	-0.01749502	-0.002886587
18	1698	ENSG00000086548.9	CEACAM6	protein_coding	0.025893152	-0.0017010589	0.03941198	-0.0040762145	0.039523028	-0.010616412	0.011381704	0.0717216	0.057836685	-0.059275992	-0.01552517	-0.014685037	0.029209523	-0.033354886	0.012811846	0.1361068	-0.021334581	0.0039248127	0.011536539	0.009912386
19	16335	ENSG00000186847.6	KRT14	protein_coding	-0.013644358	0.06475928	-0.056966536	-0.018224943	-0.0021949413	0.045939233	0.026919719	0.011672572	0.026760945	0.018522197	-0.066573955	-0.04541703	-0.006439407	-0.056442328	-0.029968046	0.00880169	0.039961457	0.024612607	0.023494806	-0.030199135
