factor	level	count
Tissue source site	BH	137
Tissue source site	A2	92
Tissue source site	E2	80
Tissue source site	A8	74
Tissue source site	D8	74
Tissue source site	AR	62
Tissue source site	E9	58
Tissue source site	B6	52
Tissue source site	C8	48
Tissue source site	AO	44
Tissue source site	AN	38
Tissue source site	EW	35
Tissue source site	AC	35
Tissue source site	A7	31
Tissue source site	OL	23
Tissue source site	GM	18
Tissue source site	LL	17
Tissue source site	A1	13
Tissue source site	S3	10
Tissue source site	AQ	6
Tissue source site	LD	5
Tissue source site	PL	4
Tissue source site	3C	4
Tissue source site	PE	3
Tissue source site	HN	2
Tissue source site	WT	2
Tissue source site	XX	2
Tissue source site	Z7	2
Tissue source site	JL	1
Tissue source site	GI	1
Tissue source site	OK	1
Tissue source site	4H	1
Tissue source site	5T	1
Tissue source site	5L	1
Tissue source site	UL	1
Tissue source site	UU	1
Tissue source site	V7	1
Tissue source site	W8	1
RNA plate	A115	86
RNA plate	A034	82
RNA plate	A00Z	82
RNA plate	A13Q	69
RNA plate	A169	46
RNA plate	A084	45
RNA plate	A056	43
RNA plate	A12D	40
RNA plate	A12P	39
RNA plate	A109	38
RNA plate	A144	36
RNA plate	A41B	33
RNA plate	A14M	31
RNA plate	A16F	29
RNA plate	A157	26
RNA plate	A14D	23
RNA plate	A10J	22
RNA plate	A28M	20
RNA plate	A18M	16
RNA plate	A33J	16
RNA plate	A137	15
RNA plate	A27Q	15
RNA plate	A29R	14
RNA plate	A180	12
RNA plate	A32P	10
RNA plate	A239	10
RNA plate	A36F	10
RNA plate	A31O	10
RNA plate	A352	10
RNA plate	A17B	8
RNA plate	A266	8
RNA plate	A22U	8
RNA plate	A21T	7
RNA plate	A24H	6
RNA plate	A22K	6
RNA plate	A213	4
RNA plate	A32Y	2
RNA plate	A22O	1
RNA plate	A19W	1
RNA plate	A26B	1
RNA plate	A466	1
Legacy RNA-seq batch	85	75
Legacy RNA-seq batch	47	75
Legacy RNA-seq batch	56	74
Legacy RNA-seq batch	72	42
Legacy RNA-seq batch	61	40
Legacy RNA-seq batch	93	38
Legacy RNA-seq batch	96	36
Legacy RNA-seq batch	74	33
Legacy RNA-seq batch	80	20
Legacy RNA-seq batch	103	14
Aliquot center code	07	981
GDC source center	23	981
