variance_rank	matrix_column	gene_id	gene_id_without_version	gene_name	gene_type	is_protein_coding	mean_log2_tpm	variance_log2_tpm	fraction_log2_tpm_gt_1
1	3784	ENSG00000110484.7	ENSG00000110484	SCGB2A2	protein_coding	1	6.7908244	20.416143	0.8664627930682977
2	5603	ENSG00000124935.4	ENSG00000124935	SCGB1D2	protein_coding	1	6.2346716	17.38558	0.8807339449541285
3	10430	ENSG00000160182.3	ENSG00000160182	TFF1	protein_coding	1	7.2101917	16.26683	0.8705402650356778
4	10385	ENSG00000159763.4	ENSG00000159763	PIP	protein_coding	1	6.841324	15.639989	0.9153924566768603
5	9603	ENSG00000153002.12	ENSG00000153002	CPB1	protein_coding	1	3.138956	15.217113	0.5626911314984709
6	11875	ENSG00000166509.12	ENSG00000166509	CLEC3A	protein_coding	1	2.791021	14.16412	0.44240570846075433
7	8426	ENSG00000143556.9	ENSG00000143556	S100A7	protein_coding	1	3.0735044	13.275133	0.5524974515800204
8	13519	ENSG00000173467.9	ENSG00000173467	AGR3	protein_coding	1	6.709279	11.296347	0.8746177370030581
9	14469	ENSG00000178372.8	ENSG00000178372	CALML5	protein_coding	1	4.7257123	11.147957	0.873598369011213
10	13333	ENSG00000172551.11	ENSG00000172551	MUCL1	protein_coding	1	3.6954076	11.079935	0.7359836901121305
11	10428	ENSG00000160180.15	ENSG00000160180	TFF3	protein_coding	1	7.36488	10.799342	0.928644240570846
12	316	ENSG00000012223.13	ENSG00000012223	LTF	protein_coding	1	6.7242746	10.697156	0.9694189602446484
13	15066	ENSG00000181617.6	ENSG00000181617	FDCSP	protein_coding	1	3.7495103	10.651817	0.7737003058103975
14	16174	ENSG00000186160.5	ENSG00000186160	CYP4Z1	protein_coding	1	3.7212744	9.86471	0.7196738022426096
15	11258	ENSG00000164128.7	ENSG00000164128	NPY1R	protein_coding	1	4.497198	9.469988	0.8583078491335372
16	3324	ENSG00000106541.12	ENSG00000106541	AGR2	protein_coding	1	7.965217	9.37706	0.9551478083588175
17	7715	ENSG00000138696.11	ENSG00000138696	BMPR1B	protein_coding	1	4.137375	9.355136	0.8277268093781855
18	1698	ENSG00000086548.9	ENSG00000086548	CEACAM6	protein_coding	1	5.0883493	9.071494	0.9123343527013251
19	16335	ENSG00000186847.6	ENSG00000186847	KRT14	protein_coding	1	5.2406464	8.861099	0.8715596330275229
