cohort	holdout_split	pam50_standard	n	percent_within_split
four_class	development	Basal-like	137	18.12169312169312
four_class	development	HER2-enriched	62	8.201058201058201
four_class	development	Luminal A	399	52.77777777777778
four_class	development	Luminal B	158	20.8994708994709
four_class	locked_test	Basal-like	34	17.98941798941799
four_class	locked_test	HER2-enriched	16	8.465608465608465
four_class	locked_test	Luminal A	100	52.91005291005291
four_class	locked_test	Luminal B	39	20.634920634920636
five_class	development	Basal-like	137	17.452229299363058
five_class	development	HER2-enriched	62	7.898089171974522
five_class	development	Luminal A	399	50.82802547770701
five_class	development	Luminal B	158	20.127388535031848
five_class	development	Normal-like	29	3.694267515923567
five_class	locked_test	Basal-like	34	17.346938775510203
five_class	locked_test	HER2-enriched	16	8.16326530612245
five_class	locked_test	Luminal A	100	51.02040816326531
five_class	locked_test	Luminal B	39	19.897959183673468
five_class	locked_test	Normal-like	7	3.5714285714285716
