metric	pam50_class	ci_lower_95	ci_upper_95	estimate	bootstrap_repetitions_requested	bootstrap_repetitions_effective
balanced_accuracy	macro_or_overall	0.8554167373680241	0.9454567307692308	0.9074707767722474	1000	1000
macro_f1	macro_or_overall	0.8360426192108682	0.9285039941902686	0.8849064350600786	1000	1000
accuracy	macro_or_overall	0.8359788359788359	0.9259259259259259	0.8835978835978836	1000	1000
macro_ovr_roc_auc	macro_or_overall	0.9687381624049657	0.9901248485932811	0.9805632136354776	1000	1000
macro_average_precision	macro_or_overall	0.883168422766115	0.9670291120621725	0.9270851927203131	1000	1000
multiclass_log_loss	macro_or_overall	0.33528438045642484	0.43425633147572434	0.38371909088582307	1000	1000
precision	Luminal A	0.912063492063492	0.9887640449438202	0.9550561797752809	1000	1000
precision	Luminal B	0.5964912280701754	0.8043478260869565	0.6938775510204082	1000	1000
precision	Basal-like	1.0	1.0	1.0	1000	1000
precision	HER2-enriched	0.6953661327231121	1.0	0.8333333333333334	1000	1000
recall	Luminal A	0.78	0.92	0.85	1000	1000
recall	Luminal B	0.7692307692307693	0.9487179487179487	0.8717948717948718	1000	1000
recall	Basal-like	0.9117647058823529	1.0	0.9705882352941176	1000	1000
recall	HER2-enriched	0.8125	1.0	0.9375	1000	1000
f1	Luminal A	0.8524590163934426	0.9388510959939531	0.8994708994708994	1000	1000
f1	Luminal B	0.6896360153256705	0.8506436781609195	0.7727272727272727	1000	1000
f1	Basal-like	0.9538461538461539	1.0	0.9850746268656716	1000	1000
f1	HER2-enriched	0.7691176470588236	0.9696969696969697	0.8823529411764706	1000	1000
ovr_roc_auc	Luminal A	0.9723595505617978	0.9953932584269664	0.9851685393258426	1000	1000
ovr_roc_auc	Luminal B	0.9181068376068375	0.9743632478632478	0.9487179487179487	1000	1000
ovr_roc_auc	Basal-like	0.9939278937381405	1.0	0.9984819734345352	1000	1000
ovr_roc_auc	HER2-enriched	0.9743406791907514	1.0	0.9898843930635838	1000	1000
average_precision	Luminal A	0.9766920498299896	0.9959955137330735	0.9873306327418223	1000	1000
average_precision	Luminal B	0.7509488665904966	0.9181230424025734	0.8395838914558305	1000	1000
average_precision	Basal-like	0.9784313725490197	1.0	0.9943977591036415	1000	1000
average_precision	HER2-enriched	0.7463470080266955	1.0	0.8870284875799582	1000	1000
