pam50_class	matrix_column	coefficient_sum	coefficient_sum_squares	absolute_coefficient_sum	selected_fold_count	nonzero_fold_count	positive_fold_count	negative_fold_count	mean_coefficient_including_zeros	mean_absolute_coefficient_including_zeros	coefficient_sd_including_zeros	sign_consistency	gene_id	gene_id_without_version	gene_name	gene_type	top20_outer_fold_count	top20_outer_fold_frequency	direction	direction_rank
Luminal A	5888	1.080293886363506	0.2622216571058659	1.080293886363506	5.0	5.0	5.0	0.0	0.21605877727270123	0.21605877727270123	0.08487443802905609	1.0	ENSG00000127084.19	ENSG00000127084	FGD3	protein_coding	5.0	1.0	positive	1
Luminal A	16341	1.0586368441581724	0.2554072304435503	1.0586368441581724	5.0	5.0	5.0	0.0	0.21172736883163448	0.21172736883163448	0.08840932767773345	1.0	ENSG00000186868.16	ENSG00000186868	MAPT	protein_coding	5.0	1.0	positive	2
Luminal A	37327	0.9460070654749869	0.23856473460933028	0.9460070654749869	5.0	5.0	5.0	0.0	0.18920141309499738	0.18920141309499738	0.12204390708225776	1.0	ENSG00000244734.4	ENSG00000244734	HBB	protein_coding	3.0	0.6	positive	3
Luminal A	187	0.7826235145330428	0.24150350279427468	0.7826235145330428	5.0	4.0	4.0	0.0	0.15652470290660855	0.15652470290660855	0.17248448458793644	1.0	ENSG00000007516.14	ENSG00000007516	BAIAP3	protein_coding	3.0	0.6	positive	4
Luminal A	6751	0.7802185080945488	0.18880356762424771	0.7802185080945488	5.0	5.0	5.0	0.0	0.15604370161890976	0.15604370161890976	0.12947527133548611	1.0	ENSG00000133392.18	ENSG00000133392	MYH11	protein_coding	3.0	0.6	positive	5
Luminal A	2910	0.7314263079315422	0.14332640437288596	0.7314263079315422	5.0	5.0	5.0	0.0	0.14628526158630845	0.14628526158630845	0.09530151570936912	1.0	ENSG00000104368.19	ENSG00000104368	PLAT	protein_coding	4.0	0.8	positive	6
Luminal A	13138	0.7106784973293543	0.17611487034543635	0.7106784973293543	5.0	4.0	4.0	0.0	0.14213569946587085	0.14213569946587085	0.1370237981448611	1.0	ENSG00000171791.14	ENSG00000171791	BCL2	protein_coding	3.0	0.6	positive	7
Luminal A	5834	0.6898853853344915	0.1437264603624513	0.6898853853344915	5.0	4.0	4.0	0.0	0.1379770770668983	0.1379770770668983	0.1101568102556843	1.0	ENSG00000126562.17	ENSG00000126562	WNK4	protein_coding	4.0	0.8	positive	8
Luminal A	10877	0.6005726810544728	0.12451899764113021	0.6005726810544728	5.0	5.0	5.0	0.0	0.12011453621089456	0.12011453621089456	0.11443501277508854	1.0	ENSG00000162975.5	ENSG00000162975	KCNF1	protein_coding	4.0	0.8	positive	9
Luminal A	13248	0.588280119001865	0.07283148929451297	0.588280119001865	5.0	5.0	5.0	0.0	0.11765602380037302	0.11765602380037302	0.030069875340377018	1.0	ENSG00000172236.18	ENSG00000172236	TPSAB1	protein_coding	4.0	0.8	positive	10
