matrix_column	gene_id	gene_id_without_version	gene_name	mean_absolute_coefficient_across_classes	max_absolute_mean_coefficient	maximum_class_top20_frequency	dominant_class	dominant_class_mean_coefficient
2431	ENSG00000101057.16	ENSG00000101057	MYBL2	0.33217611759901045	0.925929594039917	1.0	Luminal A	-0.925929594039917
730	ENSG00000054598.9	ENSG00000054598	FOXC1	0.16167413545772433	0.5656662046909332	1.0	Basal-like	0.5656662046909332
13807	ENSG00000175063.17	ENSG00000175063	UBE2C	0.14184388518333435	0.34608218669891355	0.4	Luminal A	-0.34608218669891355
8162	ENSG00000141736.14	ENSG00000141736	ERBB2	0.13027703762054443	0.5211081504821777	1.0	HER2-enriched	0.5211081504821777
1943	ENSG00000091831.24	ENSG00000091831	ESR1	0.11559565551578997	0.3379001945257187	1.0	Luminal B	0.3379001945257187
11448	ENSG00000164825.4	ENSG00000164825	DEFB1	0.09271873757243157	0.3708749502897263	1.0	Luminal B	-0.3708749502897263
5027	ENSG00000120262.10	ENSG00000120262	CCDC170	0.08994212597608565	0.23839162588119506	1.0	Luminal B	0.23839162588119506
6022	ENSG00000128422.17	ENSG00000128422	KRT17	0.08374942485243081	0.3105064570903778	1.0	Luminal B	-0.3105064570903778
37327	ENSG00000244734.4	ENSG00000244734	HBB	0.08090669363737106	0.18920141309499738	0.6	Luminal A	0.18920141309499738
8163	ENSG00000141738.14	ENSG00000141738	GRB7	0.07109326384961605	0.27123686373233796	0.8	HER2-enriched	0.27123686373233796
5282	ENSG00000122584.13	ENSG00000122584	NXPH1	0.06602251809090376	0.26409007236361504	0.8	HER2-enriched	0.26409007236361504
6150	ENSG00000129514.8	ENSG00000129514	FOXA1	0.06509057953953742	0.2603623181581497	1.0	Basal-like	-0.2603623181581497
10541	ENSG00000160867.15	ENSG00000160867	FGFR4	0.06041492209769785	0.22785180509090425	1.0	HER2-enriched	0.22785180509090425
7962	ENSG00000140443.15	ENSG00000140443	IGF1R	0.06033437065780161	0.136970841884613	0.8	HER2-enriched	-0.136970841884613
5888	ENSG00000127084.19	ENSG00000127084	FGD3	0.05401469431817531	0.21605877727270123	1.0	Luminal A	0.21605877727270123
8167	ENSG00000141750.7	ENSG00000141750	STAC2	0.05314813554286957	0.21259254217147827	1.0	Luminal B	-0.21259254217147827
16341	ENSG00000186868.16	ENSG00000186868	MAPT	0.05293184220790862	0.21172736883163448	1.0	Luminal A	0.21172736883163448
17165	ENSG00000196611.5	ENSG00000196611	MMP1	0.05199487991631029	0.18146995157003398	1.0	Luminal A	-0.18146995157003398
7735	ENSG00000138772.13	ENSG00000138772	ANXA3	0.049704105406999585	0.19881642162799834	0.8	Luminal B	-0.19881642162799834
1210	ENSG00000072858.11	ENSG00000072858	SIDT1	0.04347423911094665	0.1738969564437866	1.0	Basal-like	-0.1738969564437866
8549	ENSG00000144354.14	ENSG00000144354	CDCA7	0.04310275875031948	0.1724110350012779	0.8	Luminal A	-0.1724110350012779
4464	ENSG00000115648.14	ENSG00000115648	MLPH	0.04186621950939297	0.16746487803757187	0.8	Basal-like	-0.16746487803757187
12507	ENSG00000169083.18	ENSG00000169083	AR	0.04174619968980551	0.16698479875922204	1.0	Basal-like	-0.16698479875922204
2910	ENSG00000104368.19	ENSG00000104368	PLAT	0.04110369319096207	0.14628526158630845	0.8	Luminal A	0.14628526158630845
187	ENSG00000007516.14	ENSG00000007516	BAIAP3	0.03913117572665214	0.15652470290660855	0.6	Luminal A	0.15652470290660855
6751	ENSG00000133392.18	ENSG00000133392	MYH11	0.03901092540472744	0.15604370161890976	0.6	Luminal A	0.15604370161890976
5452	ENSG00000124107.5	ENSG00000124107	SLPI	0.038919224962592106	0.15567689985036842	0.8	Luminal B	-0.15567689985036842
17363	ENSG00000197261.11	ENSG00000197261	C6orf141	0.03815736584365367	0.08839839696884155	0.2	Luminal B	0.08839839696884155
7790	ENSG00000139211.7	ENSG00000139211	AMIGO2	0.03788842298090457	0.15155369192361828	0.8	Luminal B	0.15155369192361828
9445	ENSG00000151715.8	ENSG00000151715	TMEM45B	0.035831015929579726	0.1433240637183189	1.0	HER2-enriched	0.1433240637183189
13138	ENSG00000171791.14	ENSG00000171791	BCL2	0.03553392486646771	0.14213569946587085	0.6	Luminal A	0.14213569946587085
9784	ENSG00000154639.19	ENSG00000154639	CXADR	0.034882425237447015	0.13448204956948753	0.6	Luminal B	-0.13448204956948753
28755	ENSG00000229453.2	ENSG00000229453	SPINK8	0.03480718359351158	0.13922873437404631	0.8	HER2-enriched	0.13922873437404631
2222	ENSG00000100219.16	ENSG00000100219	XBP1	0.0347339764703065	0.138935905881226	0.8	Basal-like	-0.138935905881226
5834	ENSG00000126562.17	ENSG00000126562	WNK4	0.034494269266724574	0.1379770770668983	0.8	Luminal A	0.1379770770668983
16716	ENSG00000188488.14	ENSG00000188488	SERPINA5	0.03309007305651903	0.11686652377247811	0.8	HER2-enriched	-0.11686652377247811
17835	ENSG00000198729.5	ENSG00000198729	PPP1R14C	0.03243696889840064	0.10424487292766567	1.0	Basal-like	0.10424487292766567
13510	ENSG00000173432.12	ENSG00000173432	SAA1	0.030623198300600046	0.09915229827165602	0.4	Luminal B	-0.09915229827165602
17764	ENSG00000198535.5	ENSG00000198535	C2CD4A	0.03062205612659453	0.12248822450637813	0.6	HER2-enriched	0.12248822450637813
10877	ENSG00000162975.5	ENSG00000162975	KCNF1	0.03002863405272364	0.12011453621089456	0.8	Luminal A	0.12011453621089456
10893	ENSG00000163017.14	ENSG00000163017	ACTG2	0.029422136303037395	0.11768854521214958	0.6	Luminal B	-0.11768854521214958
13248	ENSG00000172236.18	ENSG00000172236	TPSAB1	0.029414005950093254	0.11765602380037302	0.8	Luminal A	0.11765602380037302
11253	ENSG00000164120.14	ENSG00000164120	HPGD	0.02768660597503184	0.10718233138322826	0.6	Luminal B	-0.10718233138322826
13318	ENSG00000172478.18	ENSG00000172478	MAB21L4	0.026744006416993205	0.10697602566797282	0.6	HER2-enriched	0.10697602566797282
2209	ENSG00000100167.20	ENSG00000100167	SEPTIN3	0.025510139763355245	0.10204055905342098	0.6	Luminal A	-0.10204055905342098
43132	ENSG00000255974.8	ENSG00000255974	CYP2A6	0.025398165220394713	0.10159266088157885	0.2	Luminal A	0.10159266088157885
14703	ENSG00000179593.16	ENSG00000179593	ALOX15B	0.025151864578947407	0.08041232135146852	0.6	HER2-enriched	0.08041232135146852
10428	ENSG00000160180.15	ENSG00000160180	TFF3	0.025077768415212625	0.1003110736608505	0.8	Basal-like	-0.1003110736608505
342	ENSG00000013588.9	ENSG00000013588	GPRC5A	0.02444574893452225	0.08736406862735742	0.6	Basal-like	-0.08736406862735742
6965	ENSG00000134824.14	ENSG00000134824	FADS2	0.02398706814274191	0.09151184037327764	0.0	Luminal A	-0.09151184037327764
9013	ENSG00000147689.16	ENSG00000147689	FAM83A	0.02341914400458335	0.0936765760183334	0.6	Luminal A	-0.0936765760183334
3095	ENSG00000105388.16	ENSG00000105388	CEACAM5	0.022946247085928916	0.07258275747299195	0.2	Basal-like	-0.07258275747299195
2904	ENSG00000104332.12	ENSG00000104332	SFRP1	0.02285500951111315	0.0914200380444526	1.0	Basal-like	0.0914200380444526
1472	ENSG00000079689.14	ENSG00000079689	SCGN	0.02255394766107201	0.0891516976058483	0.4	Luminal B	-0.0891516976058483
16129	ENSG00000186007.10	ENSG00000186007	LEMD1	0.022366961464285844	0.08946784585714337	0.6	Basal-like	0.08946784585714337
13976	ENSG00000175928.6	ENSG00000175928	LRRN1	0.022038853913545597	0.0627598576247692	0.4	HER2-enriched	-0.0627598576247692
6968	ENSG00000134830.6	ENSG00000134830	C5AR2	0.02195165478624402	0.06478567868471141	0.4	HER2-enriched	-0.06478567868471141
10119	ENSG00000157613.11	ENSG00000157613	CREB3L1	0.02112634740769862	0.08450538963079449	0.8	HER2-enriched	0.08450538963079449
9598	ENSG00000152953.13	ENSG00000152953	STK32B	0.02085112929344177	0.06539834290742874	0.2	Luminal A	0.06539834290742874
6220	ENSG00000130176.8	ENSG00000130176	CNN1	0.02080169431865215	0.0832067772746086	0.6	Luminal A	0.0832067772746086
