pam50_class	matrix_column	gene_name	top20_outer_fold_count	mean_coefficient_when_top20	positive_top20_fold_count	negative_top20_fold_count	top20_outer_fold_frequency	dominant_direction
Basal-like	12507	AR	5	-0.16698479875922204	0	5	1.0	negative
Basal-like	6150	FOXA1	5	-0.2603623181581497	0	5	1.0	negative
Basal-like	730	FOXC1	5	0.5656662046909332	5	0	1.0	positive
Basal-like	17835	PPP1R14C	5	0.10424487292766567	5	0	1.0	positive
Basal-like	2904	SFRP1	5	0.0914200380444526	5	0	1.0	positive
Basal-like	1210	SIDT1	5	-0.1738969564437866	0	5	1.0	negative
HER2-enriched	8162	ERBB2	5	0.5211081504821777	5	0	1.0	positive
HER2-enriched	10541	FGFR4	5	0.22785180509090425	5	0	1.0	positive
HER2-enriched	9445	TMEM45B	5	0.1433240637183189	5	0	1.0	positive
Luminal A	5888	FGD3	5	0.21605877727270123	5	0	1.0	positive
Luminal A	16341	MAPT	5	0.21172736883163448	5	0	1.0	positive
Luminal A	17165	MMP1	5	-0.18146995157003398	0	5	1.0	negative
Luminal A	2431	MYBL2	5	-0.925929594039917	0	5	1.0	negative
Luminal B	5027	CCDC170	5	0.23839162588119506	5	0	1.0	positive
Luminal B	11448	DEFB1	5	-0.3708749502897263	0	5	1.0	negative
Luminal B	1943	ESR1	5	0.3379001945257187	5	0	1.0	positive
Luminal B	6022	KRT17	5	-0.3105064570903778	0	5	1.0	negative
Luminal B	2431	MYBL2	5	0.40277487635612486	5	0	1.0	positive
Luminal B	8167	STAC2	5	-0.21259254217147827	0	5	1.0	negative
Basal-like	10871	CAPN13	4	-0.08149844314903018	0	4	0.8	negative
Basal-like	4464	MLPH	4	-0.2038129065185785	0	4	0.8	negative
Basal-like	5565	SPDEF	4	-0.07141544576734302	0	4	0.8	negative
Basal-like	10428	TFF3	4	-0.12538884207606313	0	4	0.8	negative
Basal-like	2222	XBP1	4	-0.17055310402065513	0	4	0.8	negative
HER2-enriched	5027	CCDC170	4	-0.15172109752893445	0	4	0.8	negative
HER2-enriched	10119	CREB3L1	4	0.0811379868537187	4	0	0.8	positive
HER2-enriched	8163	GRB7	4	0.33904607966542244	4	0	0.8	positive
HER2-enriched	7962	IGF1R	4	-0.15849444083869454	0	4	0.8	negative
HER2-enriched	5282	NXPH1	4	0.3260161727666855	4	0	0.8	positive
HER2-enriched	16716	SERPINA5	4	-0.14608315471559763	0	4	0.8	negative
HER2-enriched	28755	SPINK8	4	0.1572384499013424	4	0	0.8	positive
Luminal A	8549	CDCA7	4	-0.20748987980186936	0	4	0.8	negative
Luminal A	10877	KCNF1	4	0.1460494566708803	4	0	0.8	positive
Luminal A	2910	PLAT	4	0.17757029645144934	4	0	0.8	positive
Luminal A	13248	TPSAB1	4	0.12239419296383852	4	0	0.8	positive
Luminal A	5834	WNK4	4	0.17247134633362288	4	0	0.8	positive
Luminal B	7790	AMIGO2	4	0.1721318326890468	4	0	0.8	positive
Luminal B	7735	ANXA3	4	-0.24852052703499794	0	4	0.8	negative
Luminal B	5452	SLPI	4	-0.14880164153873915	0	4	0.8	negative
Basal-like	342	GPRC5A	3	-0.13154251376787815	0	3	0.6	negative
Basal-like	16129	LEMD1	3	0.1491130764285723	3	0	0.6	positive
Basal-like	19840	SLC44A4	3	-0.09383480499188103	0	3	0.6	negative
HER2-enriched	14703	ALOX15B	3	0.1290566648046175	3	0	0.6	positive
HER2-enriched	17764	C2CD4A	3	0.1853605508804321	3	0	0.6	positive
HER2-enriched	12464	ENHO	3	-0.13828788946072254	0	3	0.6	negative
HER2-enriched	1943	ESR1	3	-0.17531539748112354	0	3	0.6	negative
HER2-enriched	37327	HBB	3	-0.2112969011068344	0	3	0.6	negative
HER2-enriched	13318	MAB21L4	3	0.17791127413511268	3	0	0.6	positive
Luminal A	187	BAIAP3	3	0.24132930735747019	3	0	0.6	positive
Luminal A	13138	BCL2	3	0.23176043232282004	3	0	0.6	positive
Luminal A	6220	CNN1	3	0.13867796212434766	3	0	0.6	positive
Luminal A	664	ELN	3	0.1172342350085576	3	0	0.6	positive
Luminal A	9013	FAM83A	3	-0.1236325527230898	0	3	0.6	negative
Luminal A	37327	HBB	3	0.2770785093307495	3	0	0.6	positive
Luminal A	2109	IGFALS	3	0.1331933960318565	3	0	0.6	positive
Luminal A	6751	MYH11	3	0.2159650375445683	3	0	0.6	positive
Luminal A	2209	SEPTIN3	3	-0.1700675984223683	0	3	0.6	negative
Luminal B	10893	ACTG2	3	-0.17693493515253064	0	3	0.6	negative
Luminal B	9784	CXADR	3	-0.19759918500979737	0	3	0.6	negative
