matrix_column	gene_id	gene_id_without_version	gene_name	pass_outer_fold_count	in_union_background	in_all_five_folds_background
0	ENSG00000000003.15	ENSG00000000003	TSPAN6	5	True	True
1	ENSG00000000005.6	ENSG00000000005	TNMD	5	True	True
2	ENSG00000000419.13	ENSG00000000419	DPM1	5	True	True
3	ENSG00000000457.14	ENSG00000000457	SCYL3	5	True	True
4	ENSG00000000460.17	ENSG00000000460	C1orf112	5	True	True
5	ENSG00000000938.13	ENSG00000000938	FGR	5	True	True
6	ENSG00000000971.16	ENSG00000000971	CFH	5	True	True
7	ENSG00000001036.14	ENSG00000001036	FUCA2	5	True	True
8	ENSG00000001084.13	ENSG00000001084	GCLC	5	True	True
9	ENSG00000001167.14	ENSG00000001167	NFYA	5	True	True
10	ENSG00000001460.18	ENSG00000001460	STPG1	5	True	True
11	ENSG00000001461.17	ENSG00000001461	NIPAL3	5	True	True
12	ENSG00000001497.18	ENSG00000001497	LAS1L	5	True	True
13	ENSG00000001561.7	ENSG00000001561	ENPP4	5	True	True
14	ENSG00000001617.12	ENSG00000001617	SEMA3F	5	True	True
16	ENSG00000001629.10	ENSG00000001629	ANKIB1	5	True	True
17	ENSG00000001630.17	ENSG00000001630	CYP51A1	5	True	True
18	ENSG00000001631.16	ENSG00000001631	KRIT1	5	True	True
19	ENSG00000002016.18	ENSG00000002016	RAD52	5	True	True
21	ENSG00000002330.14	ENSG00000002330	BAD	5	True	True
22	ENSG00000002549.12	ENSG00000002549	LAP3	5	True	True
23	ENSG00000002586.20	ENSG00000002586	CD99	5	True	True
25	ENSG00000002587.10	ENSG00000002587	HS3ST1	5	True	True
26	ENSG00000002726.21	ENSG00000002726	AOC1	5	True	True
30	ENSG00000002834.18	ENSG00000002834	LASP1	5	True	True
31	ENSG00000002919.15	ENSG00000002919	SNX11	5	True	True
32	ENSG00000002933.9	ENSG00000002933	TMEM176A	5	True	True
33	ENSG00000003056.8	ENSG00000003056	M6PR	5	True	True
34	ENSG00000003096.14	ENSG00000003096	KLHL13	5	True	True
35	ENSG00000003137.8	ENSG00000003137	CYP26B1	5	True	True
36	ENSG00000003147.19	ENSG00000003147	ICA1	5	True	True
37	ENSG00000003249.15	ENSG00000003249	DBNDD1	5	True	True
38	ENSG00000003393.15	ENSG00000003393	ALS2	5	True	True
39	ENSG00000003400.15	ENSG00000003400	CASP10	5	True	True
40	ENSG00000003402.20	ENSG00000003402	CFLAR	5	True	True
41	ENSG00000003436.16	ENSG00000003436	TFPI	5	True	True
42	ENSG00000003509.16	ENSG00000003509	NDUFAF7	5	True	True
43	ENSG00000003756.17	ENSG00000003756	RBM5	5	True	True
44	ENSG00000003987.14	ENSG00000003987	MTMR7	5	True	True
45	ENSG00000003989.18	ENSG00000003989	SLC7A2	5	True	True
46	ENSG00000004059.11	ENSG00000004059	ARF5	5	True	True
47	ENSG00000004139.14	ENSG00000004139	SARM1	5	True	True
48	ENSG00000004142.12	ENSG00000004142	POLDIP2	5	True	True
49	ENSG00000004399.13	ENSG00000004399	PLXND1	5	True	True
50	ENSG00000004455.17	ENSG00000004455	AK2	5	True	True
51	ENSG00000004468.13	ENSG00000004468	CD38	5	True	True
52	ENSG00000004478.8	ENSG00000004478	FKBP4	5	True	True
53	ENSG00000004487.17	ENSG00000004487	KDM1A	5	True	True
54	ENSG00000004534.15	ENSG00000004534	RBM6	5	True	True
55	ENSG00000004660.15	ENSG00000004660	CAMKK1	5	True	True
56	ENSG00000004700.16	ENSG00000004700	RECQL	5	True	True
57	ENSG00000004766.17	ENSG00000004766	VPS50	5	True	True
58	ENSG00000004776.13	ENSG00000004776	HSPB6	5	True	True
59	ENSG00000004777.18	ENSG00000004777	ARHGAP33	5	True	True
60	ENSG00000004779.10	ENSG00000004779	NDUFAB1	5	True	True
61	ENSG00000004799.8	ENSG00000004799	PDK4	5	True	True
63	ENSG00000004838.14	ENSG00000004838	ZMYND10	5	True	True
65	ENSG00000004848.8	ENSG00000004848	ARX	5	True	True
66	ENSG00000004864.14	ENSG00000004864	SLC25A13	5	True	True
67	ENSG00000004866.22	ENSG00000004866	ST7	5	True	True
68	ENSG00000004897.12	ENSG00000004897	CDC27	5	True	True
71	ENSG00000004961.15	ENSG00000004961	HCCS	5	True	True
72	ENSG00000004975.12	ENSG00000004975	DVL2	5	True	True
73	ENSG00000005001.10	ENSG00000005001	PRSS22	5	True	True
74	ENSG00000005007.13	ENSG00000005007	UPF1	5	True	True
