pam50_class	matrix_column	gene_name	mean_coefficient_including_zeros	mean_absolute_coefficient_including_zeros	selected_fold_count	nonzero_fold_count	sign_consistency	top20_outer_fold_count	top20_outer_fold_frequency	rf_selected_fold_count	macro_f1_importance_mean_including_unselected_zeros	balanced_accuracy_importance_mean_including_unselected_zeros	rf_top20_outer_fold_count	rf_top20_outer_fold_frequency	audit_status
Basal-like	8865	EGFR	0.0243998407386243	0.0243998407386243	5.0	3.0	1.0	0.0	0.0	5	0.0	0.0	0.0	0.0	observed_without_forcing
HER2-enriched	8865	EGFR	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	observed_without_forcing
Luminal A	8865	EGFR	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	observed_without_forcing
Luminal B	8865	EGFR	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	observed_without_forcing
Basal-like	8162	ERBB2	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	-0.0017671655789918	-0.0003024193548387	0.0	0.0	observed_without_forcing
HER2-enriched	8162	ERBB2	0.5211081504821777	0.5211081504821777	5.0	5.0	1.0	5.0	1.0	5	-0.0017671655789918	-0.0003024193548387	0.0	0.0	observed_without_forcing
Luminal A	8162	ERBB2	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	-0.0017671655789918	-0.0003024193548387	0.0	0.0	observed_without_forcing
Luminal B	8162	ERBB2	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	-0.0017671655789918	-0.0003024193548387	0.0	0.0	observed_without_forcing
Basal-like	1943	ESR1	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	0.0003808622676241	0.0005110111662531	0.0	0.0	observed_without_forcing
HER2-enriched	1943	ESR1	-0.1244824275374412	0.1244824275374412	5.0	4.0	1.0	3.0	0.6	5	0.0003808622676241	0.0005110111662531	0.0	0.0	observed_without_forcing
Luminal A	1943	ESR1	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5	0.0003808622676241	0.0005110111662531	0.0	0.0	observed_without_forcing
Luminal B	1943	ESR1	0.3379001945257187	0.3379001945257187	5.0	5.0	1.0	5.0	1.0	5	0.0003808622676241	0.0005110111662531	0.0	0.0	observed_without_forcing
Basal-like	6150	FOXA1	-0.2603623181581497	0.2603623181581497	5.0	5.0	1.0	5.0	1.0	5	-0.0001623617806396	0.0001975806451612	0.0	0.0	observed_without_forcing
