pam50_class	gene_name	matrix_column	development_n	mean_log2_tpm	median_log2_tpm	q25_log2_tpm	q75_log2_tpm
Luminal A	PGR	1559	399	4.815289497375488	5.2338995933532715	3.208353281021118	6.438147068023682
Luminal A	ESR1	1943	399	7.129671096801758	7.176565170288086	6.346643447875977	8.070425033569336
Luminal A	GATA3	3420	399	9.574698448181152	9.611160278320312	9.14547348022461	10.036703109741211
Luminal A	KRT17	6022	399	5.545234680175781	5.989681720733643	4.054439544677734	7.25400447845459
Luminal A	FOXA1	6150	399	8.268715858459473	8.323776245117188	7.964588165283203	8.702754974365234
Luminal A	ERBB2	8162	399	7.074584007263184	7.104496955871582	6.5171051025390625	7.546603679656982
Luminal A	EGFR	8865	399	2.8519132137298584	2.9082558155059814	2.035299301147461	3.745537757873535
Luminal A	MKI67	9131	399	3.950716972351074	4.027287006378174	3.2991695404052734	4.633310794830322
Luminal A	KRT5	16147	399	5.205510139465332	5.718578338623047	3.6605746746063232	7.015660285949707
Luminal A	KRT14	16335	399	5.68907356262207	6.17832612991333	4.3232622146606445	7.625860214233398
Luminal B	PGR	1559	158	3.6303114891052246	3.6177897453308105	1.4195771217346191	5.565795421600342
Luminal B	ESR1	1943	158	7.430400371551514	7.4749040603637695	6.643978118896484	8.241305351257324
Luminal B	GATA3	3420	158	9.513229370117188	9.57007884979248	9.067691802978516	10.094866752624512
Luminal B	KRT17	6022	158	3.076265573501587	3.155586004257202	1.5683708190917969	4.634324073791504
Luminal B	FOXA1	6150	158	8.314902305603027	8.381997108459473	7.914855480194092	8.740745544433594
Luminal B	ERBB2	8162	158	7.005565643310547	6.9182939529418945	6.2188639640808105	7.486390590667725
Luminal B	EGFR	8865	158	2.0676825046539307	1.9188339710235596	1.5798311233520508	2.4531023502349854
Luminal B	MKI67	9131	158	5.245669364929199	5.29805850982666	4.727323532104492	5.768646240234375
Luminal B	KRT5	16147	158	2.7260076999664307	2.866398334503174	0.8674437999725342	4.151741027832031
Luminal B	KRT14	16335	158	2.9443323612213135	3.1156392097473145	0.8760091662406921	4.646646499633789
Basal-like	PGR	1559	137	0.5070542097091675	0.31034013628959656	0.15484236180782318	0.7227283120155334
Basal-like	ESR1	1943	137	1.4277223348617554	1.1609846353530884	0.6511321067810059	1.9326659440994263
Basal-like	GATA3	3420	137	5.088992595672607	5.36391019821167	3.948395252227783	6.4799675941467285
Basal-like	KRT17	6022	137	7.6242499351501465	8.206589698791504	5.93632698059082	9.389758110046387
Basal-like	FOXA1	6150	137	2.3794822692871094	1.7791756391525269	1.0753957033157349	3.185153007507324
Basal-like	ERBB2	8162	137	5.7383713722229	5.747537612915039	5.146671295166016	6.290612697601318
Basal-like	EGFR	8865	137	4.59693717956543	4.5660600662231445	3.5992462635040283	5.245119094848633
Basal-like	MKI67	9131	137	5.533871173858643	5.586881637573242	4.839521408081055	6.293798923492432
Basal-like	KRT5	16147	137	7.3607988357543945	7.631450653076172	5.431779861450195	9.446510314941406
Basal-like	KRT14	16335	137	6.591271877288818	6.3954315185546875	4.422569274902344	8.518168449401855
HER2-enriched	PGR	1559	62	0.933303952217102	0.5206188559532166	0.32518434524536133	0.8954064846038818
HER2-enriched	ESR1	1943	62	2.2756378650665283	1.691127061843872	1.042287826538086	2.866077423095703
HER2-enriched	GATA3	3420	62	7.285933971405029	7.469760894775391	6.215852737426758	8.597883224487305
HER2-enriched	KRT17	6022	62	4.311260223388672	4.800437927246094	2.3575167655944824	5.772706031799316
HER2-enriched	FOXA1	6150	62	7.75456428527832	7.823687553405762	7.314661979675293	8.209452629089355
HER2-enriched	ERBB2	8162	62	9.746774673461914	10.485496520996094	8.154239654541016	11.41606330871582
HER2-enriched	EGFR	8865	62	3.5383546352386475	3.1370935440063477	2.4687323570251465	4.141482353210449
HER2-enriched	MKI67	9131	62	5.10070276260376	4.931375503540039	4.612249374389648	5.66340446472168
HER2-enriched	KRT5	16147	62	3.7579803466796875	3.79359769821167	2.117687225341797	5.402300834655762
HER2-enriched	KRT14	16335	62	3.323674201965332	3.6441214084625244	1.3287869691848755	5.115460395812988
