matrix_column	gene_name	top20_outer_fold_count	top20_outer_fold_frequency
4753	CENPF	3	0.6
967	ASPM	2	0.4
5027	CCDC170	2	0.4
2006	CDC6	2	0.4
4372	CENPA	2	0.4
7627	CEP55	2	0.4
3856	FOXM1	2	0.4
8294	KIF2C	2	0.4
923	MCM10	2	0.4
9131	MKI67	2	0.4
123	ABCC8	1	0.2
26	AOC1	1	0.2
16463	ATP13A5	1	0.2
1752	AURKA	1	0.2
14586	AURKB	1	0.2
10540	AZGP1	1	0.2
10897	CCDC74A	1	0.2
8693	CCNA2	1	0.2
10101	CCNB2	1	0.2
51	CD38	1	0.2
15784	CDCA2	1	0.2
8867	CDCA5	1	0.2
1980	COL9A3	1	0.2
6027	CPA4	1	0.2
117	CRLF1	1	0.2
12333	CX3CR1	1	0.2
1168	CYBRD1	1	0.2
11448	DEFB1	1	0.2
6954	DSC3	1	0.2
4875	ECRG4	1	0.2
4309	EFCC1	1	0.2
6952	ELP2	1	0.2
13677	EXO1	1	0.2
4723	F3	1	0.2
9098	FAM171A1	1	0.2
2535	FAM83D	1	0.2
5888	FGD3	1	0.2
730	FOXC1	1	0.2
2004	GABRP	1	0.2
3420	GATA3	1	0.2
17018	GREB1	1	0.2
58	HSPB6	1	0.2
12852	IRX1	1	0.2
4129	KIF20A	1	0.2
12182	KLK5	1	0.2
16335	KRT14	1	0.2
16331	KRT16	1	0.2
15986	KRT6B	1	0.2
6707	LGR6	1	0.2
81	MEOX1	1	0.2
17165	MMP1	1	0.2
16043	MYBL1	1	0.2
2431	MYBL2	1	0.2
6751	MYH11	1	0.2
13046	NAT1	1	0.2
9040	NTRK2	1	0.2
8345	NUF2	1	0.2
8480	OSR1	1	0.2
12275	PBK	1	0.2
61	PDK4	1	0.2
11951	PLK1	1	0.2
12145	PPP1R14A	1	0.2
91	PRKAR2B	1	0.2
1045	PRR11	1	0.2
683	PTGER3	1	0.2
6503	RAI2	1	0.2
3547	RASD1	1	0.2
12596	RASSF6	1	0.2
12693	REPS2	1	0.2
3893	RERGL	1	0.2
19940	RNF39	1	0.2
926	ROPN1	1	0.2
13157	RRM2	1	0.2
2209	SEPTIN3	1	0.2
2904	SFRP1	1	0.2
45	SLC7A2	1	0.2
103	SOX8	1	0.2
3665	TBC1D9	1	0.2
32	TMEM176A	1	0.2
119	TMEM98	1	0.2
6490	TOP2A	1	0.2
1770	TPX2	1	0.2
13807	UBE2C	1	0.2
9050	UGCG	1	0.2
3244	VIPR2	1	0.2
9936	WIF1	1	0.2
120	YBX2	1	0.2
3715	ZBTB16	1	0.2
63	ZMYND10	1	0.2
