display_order	selection_role	matrix_row	case_barcode	sample_barcode	observed	predicted	explained_class	model_feature_index	matrix_column	gene_id	gene_id_without_version	gene_name	raw_log2_tpm	scaled_feature_value	shap_value	base_probability	model_probability	reconstructed_probability	absolute_shap_value	absolute_rank
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	849	7627	ENSG00000138180.16	ENSG00000138180	CEP55	3.343549966812134	-0.9390320777893066	0.007720395399940116	0.48320553254102644	0.988	0.9879999972582139	0.007720395399940116	1
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	1536	13807	ENSG00000175063.17	ENSG00000175063	UBE2C	4.673890113830566	-1.1577379703521729	0.007696925858040231	0.48320553254102644	0.988	0.9879999972582139	0.007696925858040231	2
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	211	1943	ENSG00000091831.24	ENSG00000091831	ESR1	6.373682975769043	0.22375254333019257	0.0072903227543838515	0.48320553254102644	0.988	0.9879999972582139	0.0072903227543838515	3
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	189	1770	ENSG00000088325.16	ENSG00000088325	TPX2	4.5349955558776855	-1.1859838962554932	0.007093688235768241	0.48320553254102644	0.988	0.9879999972582139	0.007093688235768241	4
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	499	4372	ENSG00000115163.15	ENSG00000115163	CENPA	1.7211101055145264	-1.4999233484268188	0.006520888832383207	0.48320553254102644	0.988	0.9879999972582139	0.006520888832383207	5
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	199	1847	ENSG00000089685.15	ENSG00000089685	BIRC5	3.277107000350952	-1.3817594051361084	0.006216900356416772	0.48320553254102644	0.988	0.9879999972582139	0.006216900356416772	6
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	279	2535	ENSG00000101447.15	ENSG00000101447	FAM83D	3.7457427978515625	-0.47127974033355713	0.005804292880175126	0.48320553254102644	0.988	0.9879999972582139	0.005804292880175126	7
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	1515	13519	ENSG00000173467.9	ENSG00000173467	AGR3	9.154775619506836	0.7220006585121155	0.005714978832957058	0.48320553254102644	0.988	0.9879999972582139	0.005714978832957058	8
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	1322	11951	ENSG00000166851.15	ENSG00000166851	PLK1	2.615863561630249	-1.1472712755203247	0.005318862874033812	0.48320553254102644	0.988	0.9879999972582139	0.005318862874033812	9
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	264	2431	ENSG00000101057.16	ENSG00000101057	MYBL2	3.734947919845581	-1.133150577545166	0.005310455263002041	0.48320553254102644	0.988	0.9879999972582139	0.005310455263002041	10
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	105	923	ENSG00000065328.17	ENSG00000065328	MCM10	1.9668364524841309	-0.8275075554847717	0.005152211106105824	0.48320553254102644	0.988	0.9879999972582139	0.005152211106105824	11
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	1479	13157	ENSG00000171848.16	ENSG00000171848	RRM2	2.96401047706604	-1.0748873949050903	0.0050987723904256654	0.48320553254102644	0.988	0.9879999972582139	0.0050987723904256654	12
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	960	8693	ENSG00000145386.11	ENSG00000145386	CCNA2	3.272575616836548	-1.0807852745056152	0.0050727618290738975	0.48320553254102644	0.988	0.9879999972582139	0.0050727618290738975	13
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	573	5027	ENSG00000120262.10	ENSG00000120262	CCDC170	4.503965377807617	0.5931400656700134	0.004578164018294046	0.48320553254102644	0.988	0.9879999972582139	0.004578164018294046	14
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	924	8345	ENSG00000143228.13	ENSG00000143228	NUF2	3.433640480041504	-0.4581254720687866	0.004413735422313039	0.48320553254102644	0.988	0.9879999972582139	0.004413735422313039	15
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	515	4464	ENSG00000115648.14	ENSG00000115648	MLPH	8.359356880187988	0.8504255414009094	0.004353973539541585	0.48320553254102644	0.988	0.9879999972582139	0.004353973539541585	16
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	220	2006	ENSG00000094804.12	ENSG00000094804	CDC6	2.6524405479431152	-1.019978642463684	0.0040958041829890135	0.48320553254102644	0.988	0.9879999972582139	0.0040958041829890135	17
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	780	6968	ENSG00000134830.6	ENSG00000134830	C5AR2	3.619577407836914	0.3136428892612457	0.0037074126913830695	0.48320553254102644	0.988	0.9879999972582139	0.0037074126913830695	18
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	688	6205	ENSG00000130045.16	ENSG00000130045	NXNL2	5.405359268188477	2.277111768722534	0.003670460306879022	0.48320553254102644	0.988	0.9879999972582139	0.003670460306879022	19
1	correct_high_confidence_luminal_a	1065	TCGA-OL-A6VQ	TCGA-OL-A6VQ-01A	Luminal A	Luminal A	Luminal A	1588	14586	ENSG00000178999.13	ENSG00000178999	AURKB	2.8058907985687256	-1.0130857229232788	0.003496862404776948	0.48320553254102644	0.988	0.9879999972582139	0.003496862404776948	20
