comparison	metric	outer_fold	difference
linear_svc_minus_multinomial_logistic_l2	macro_f1	1	-0.0027923222018915173
linear_svc_minus_multinomial_logistic_l2	macro_f1	2	0.04170288805177247
linear_svc_minus_multinomial_logistic_l2	macro_f1	3	0.04375541269603567
linear_svc_minus_multinomial_logistic_l2	macro_f1	4	-0.04773369562101948
linear_svc_minus_multinomial_logistic_l2	macro_f1	5	-0.0062443856298629585
linear_svc_minus_multinomial_logistic_l2	balanced_accuracy	1	-0.0013104838709676603
linear_svc_minus_multinomial_logistic_l2	balanced_accuracy	2	0.035937499999999956
linear_svc_minus_multinomial_logistic_l2	balanced_accuracy	3	0.06562499999999993
linear_svc_minus_multinomial_logistic_l2	balanced_accuracy	4	-0.06105324074074081
linear_svc_minus_multinomial_logistic_l2	balanced_accuracy	5	0.006635361371988835
linear_svc_minus_multinomial_logistic_l2	accuracy	1	-0.013157894736842146
linear_svc_minus_multinomial_logistic_l2	accuracy	2	0.04635761589403975
linear_svc_minus_multinomial_logistic_l2	accuracy	3	0.026490066225165587
linear_svc_minus_multinomial_logistic_l2	accuracy	4	-0.019867549668874163
linear_svc_minus_multinomial_logistic_l2	accuracy	5	-0.0066225165562912025
linear_svc_minus_multinomial_logistic_elastic_net	macro_f1	1	-0.03578038111698689
linear_svc_minus_multinomial_logistic_elastic_net	macro_f1	2	0.015436107102773766
linear_svc_minus_multinomial_logistic_elastic_net	macro_f1	3	0.018985965725096143
linear_svc_minus_multinomial_logistic_elastic_net	macro_f1	4	-0.03559527506895921
linear_svc_minus_multinomial_logistic_elastic_net	macro_f1	5	-0.053053226731380354
linear_svc_minus_multinomial_logistic_elastic_net	balanced_accuracy	1	-0.0424738567883729
linear_svc_minus_multinomial_logistic_elastic_net	balanced_accuracy	2	0.04479166666666656
linear_svc_minus_multinomial_logistic_elastic_net	balanced_accuracy	3	0.0390625
linear_svc_minus_multinomial_logistic_elastic_net	balanced_accuracy	4	-0.06417824074074086
linear_svc_minus_multinomial_logistic_elastic_net	balanced_accuracy	5	-0.030216414863209362
linear_svc_minus_multinomial_logistic_elastic_net	accuracy	1	-0.0328947368421052
linear_svc_minus_multinomial_logistic_elastic_net	accuracy	2	0.0
linear_svc_minus_multinomial_logistic_elastic_net	accuracy	3	0.0
linear_svc_minus_multinomial_logistic_elastic_net	accuracy	4	-0.0066225165562913135
linear_svc_minus_multinomial_logistic_elastic_net	accuracy	5	-0.052980132450331174
