model	observed	predicted	count	percent_within_observed
dummy_prior	Luminal A	Luminal A	399	100.0
dummy_prior	Luminal A	Luminal B	0	0.0
dummy_prior	Luminal A	Basal-like	0	0.0
dummy_prior	Luminal A	HER2-enriched	0	0.0
dummy_prior	Luminal B	Luminal A	158	100.0
dummy_prior	Luminal B	Luminal B	0	0.0
dummy_prior	Luminal B	Basal-like	0	0.0
dummy_prior	Luminal B	HER2-enriched	0	0.0
dummy_prior	Basal-like	Luminal A	137	100.0
dummy_prior	Basal-like	Luminal B	0	0.0
dummy_prior	Basal-like	Basal-like	0	0.0
dummy_prior	Basal-like	HER2-enriched	0	0.0
dummy_prior	HER2-enriched	Luminal A	62	100.0
dummy_prior	HER2-enriched	Luminal B	0	0.0
dummy_prior	HER2-enriched	Basal-like	0	0.0
dummy_prior	HER2-enriched	HER2-enriched	0	0.0
multinomial_logistic_l2	Luminal A	Luminal A	348	87.21804511278195
multinomial_logistic_l2	Luminal A	Luminal B	44	11.027568922305765
multinomial_logistic_l2	Luminal A	Basal-like	1	0.2506265664160401
multinomial_logistic_l2	Luminal A	HER2-enriched	6	1.5037593984962405
multinomial_logistic_l2	Luminal B	Luminal A	30	18.9873417721519
multinomial_logistic_l2	Luminal B	Luminal B	123	77.84810126582279
multinomial_logistic_l2	Luminal B	Basal-like	1	0.6329113924050633
multinomial_logistic_l2	Luminal B	HER2-enriched	4	2.5316455696202533
multinomial_logistic_l2	Basal-like	Luminal A	0	0.0
multinomial_logistic_l2	Basal-like	Luminal B	0	0.0
multinomial_logistic_l2	Basal-like	Basal-like	133	97.08029197080292
multinomial_logistic_l2	Basal-like	HER2-enriched	4	2.9197080291970803
multinomial_logistic_l2	HER2-enriched	Luminal A	1	1.6129032258064515
multinomial_logistic_l2	HER2-enriched	Luminal B	5	8.064516129032258
multinomial_logistic_l2	HER2-enriched	Basal-like	0	0.0
multinomial_logistic_l2	HER2-enriched	HER2-enriched	56	90.3225806451613
multinomial_logistic_elastic_net	Luminal A	Luminal A	356	89.22305764411027
multinomial_logistic_elastic_net	Luminal A	Luminal B	37	9.273182957393484
multinomial_logistic_elastic_net	Luminal A	Basal-like	0	0.0
multinomial_logistic_elastic_net	Luminal A	HER2-enriched	6	1.5037593984962405
multinomial_logistic_elastic_net	Luminal B	Luminal A	22	13.924050632911392
multinomial_logistic_elastic_net	Luminal B	Luminal B	134	84.81012658227849
multinomial_logistic_elastic_net	Luminal B	Basal-like	0	0.0
multinomial_logistic_elastic_net	Luminal B	HER2-enriched	2	1.2658227848101267
multinomial_logistic_elastic_net	Basal-like	Luminal A	0	0.0
multinomial_logistic_elastic_net	Basal-like	Luminal B	0	0.0
multinomial_logistic_elastic_net	Basal-like	Basal-like	134	97.81021897810218
multinomial_logistic_elastic_net	Basal-like	HER2-enriched	3	2.18978102189781
multinomial_logistic_elastic_net	HER2-enriched	Luminal A	1	1.6129032258064515
multinomial_logistic_elastic_net	HER2-enriched	Luminal B	4	6.451612903225806
multinomial_logistic_elastic_net	HER2-enriched	Basal-like	2	3.225806451612903
multinomial_logistic_elastic_net	HER2-enriched	HER2-enriched	55	88.70967741935483
