model	pam50_class	precision	recall	f1	support
dummy_prior	Luminal A	0.5277777777777778	1.0	0.6909090909090909	399
dummy_prior	Luminal B	0.0	0.0	0.0	158
dummy_prior	Basal-like	0.0	0.0	0.0	137
dummy_prior	HER2-enriched	0.0	0.0	0.0	62
multinomial_logistic_l2	Luminal A	0.9182058047493403	0.8721804511278195	0.8946015424164524	399
multinomial_logistic_l2	Luminal B	0.7151162790697675	0.7784810126582279	0.7454545454545455	158
multinomial_logistic_l2	Basal-like	0.9851851851851852	0.9708029197080292	0.9779411764705882	137
multinomial_logistic_l2	HER2-enriched	0.8	0.9032258064516129	0.8484848484848485	62
multinomial_logistic_elastic_net	Luminal A	0.9393139841688655	0.8922305764411027	0.9151670951156813	399
multinomial_logistic_elastic_net	Luminal B	0.7657142857142857	0.8481012658227848	0.8048048048048048	158
multinomial_logistic_elastic_net	Basal-like	0.9852941176470589	0.9781021897810219	0.9816849816849816	137
multinomial_logistic_elastic_net	HER2-enriched	0.8333333333333334	0.8870967741935484	0.859375	62
