model	outer_fold	outer_train_n	outer_validation_n	low_expression_pass_genes	selected_genes	unique_nonzero_genes	total_nonzero_class_coefficients	macro_f1	balanced_accuracy	accuracy	macro_ovr_roc_auc	multiclass_log_loss	inner_best_macro_f1	convergence_warning_count
dummy_prior	1	604	152	15174	1000			0.1724137931034483	0.25	0.5263157894736842	0.5	1.1842551684554856	0.1728046078865751	0
dummy_prior	2	605	151	15170	1000			0.17316017316017315	0.25	0.5298013245033113	0.5	1.1745426620919814	0.172617508813161	0
dummy_prior	3	605	151	15184	1000			0.17316017316017315	0.25	0.5298013245033113	0.5	1.1745426620919817	0.172617508813161	0
dummy_prior	4	605	151	15192	1000			0.17316017316017315	0.25	0.5298013245033113	0.5	1.1745426620919814	0.172617508813161	0
dummy_prior	5	605	151	15187	1000			0.17173913043478262	0.25	0.5231788079470199	0.5	1.1878869817011826	0.17297297297297298	0
multinomial_logistic_l2	1	604	152	15174	1000	1000.0	4000.0	0.8781870562922778	0.8895249911378944	0.8881578947368421	0.9838429292399016	0.27457544207572937	0.8829130246949213	0
multinomial_logistic_l2	2	605	151	15170	1000	1000.0	4000.0	0.8392494929006085	0.878125	0.8410596026490066	0.9790383004579883	0.3539869487285614	0.8824228087998549	0
multinomial_logistic_l2	3	605	151	15184	1000	1000.0	4000.0	0.8124411685005456	0.815625	0.8211920529801324	0.967743289685922	0.5383114814758301	0.8920226026602096	0
multinomial_logistic_l2	4	605	151	15192	1000	1000.0	4000.0	0.875129448016772	0.8882523148148148	0.8940397350993378	0.9816726257101265	0.2978866696357727	0.8890146970865569	0
multinomial_logistic_l2	5	605	151	15187	1000	1000.0	4000.0	0.9248377203996683	0.9326255614536545	0.9205298013245033	0.9910609772696338	0.19113370776176453	0.8905864074919785	0
multinomial_logistic_elastic_net	1	604	152	15174	1000	130.0	143.0	0.9111751152073733	0.9306883640552996	0.9078947368421053	0.9875072044940724	0.2713735103607178	0.9001381687484342	0
multinomial_logistic_elastic_net	2	605	151	15170	1000	209.0	235.0	0.8655162738496072	0.8692708333333334	0.8874172185430463	0.9855420100834944	0.24080738425254822	0.8883921964948052	0
multinomial_logistic_elastic_net	3	605	151	15184	1000	252.0	292.0	0.8372106154714851	0.8421875	0.847682119205298	0.975249826029814	0.3289012312889099	0.9061320382674299	0
multinomial_logistic_elastic_net	4	605	151	15192	1000	128.0	135.0	0.8629910274647117	0.8913773148148149	0.8807947019867549	0.9856049015385868	0.2985615134239197	0.879138267120006	0
multinomial_logistic_elastic_net	5	605	151	15187	1000	135.0	144.0	0.9716465615011858	0.9694773376888526	0.9668874172185431	0.9928420330293545	0.20282328128814697	0.8912788570565876	0
