feature_scheme	model	observed	predicted	count	row_fraction
pam50_included	dummy_prior	Luminal A	Luminal A	399	1.0
pam50_included	dummy_prior	Luminal A	Luminal B	0	0.0
pam50_included	dummy_prior	Luminal A	Basal-like	0	0.0
pam50_included	dummy_prior	Luminal A	HER2-enriched	0	0.0
pam50_included	dummy_prior	Luminal B	Luminal A	158	1.0
pam50_included	dummy_prior	Luminal B	Luminal B	0	0.0
pam50_included	dummy_prior	Luminal B	Basal-like	0	0.0
pam50_included	dummy_prior	Luminal B	HER2-enriched	0	0.0
pam50_included	dummy_prior	Basal-like	Luminal A	137	1.0
pam50_included	dummy_prior	Basal-like	Luminal B	0	0.0
pam50_included	dummy_prior	Basal-like	Basal-like	0	0.0
pam50_included	dummy_prior	Basal-like	HER2-enriched	0	0.0
pam50_included	dummy_prior	HER2-enriched	Luminal A	62	1.0
pam50_included	dummy_prior	HER2-enriched	Luminal B	0	0.0
pam50_included	dummy_prior	HER2-enriched	Basal-like	0	0.0
pam50_included	dummy_prior	HER2-enriched	HER2-enriched	0	0.0
pam50_included	multinomial_logistic_l2	Luminal A	Luminal A	348	0.8721804511278195
pam50_included	multinomial_logistic_l2	Luminal A	Luminal B	44	0.11027568922305764
pam50_included	multinomial_logistic_l2	Luminal A	Basal-like	1	0.002506265664160401
pam50_included	multinomial_logistic_l2	Luminal A	HER2-enriched	6	0.015037593984962405
pam50_included	multinomial_logistic_l2	Luminal B	Luminal A	30	0.189873417721519
pam50_included	multinomial_logistic_l2	Luminal B	Luminal B	123	0.7784810126582279
pam50_included	multinomial_logistic_l2	Luminal B	Basal-like	1	0.006329113924050633
pam50_included	multinomial_logistic_l2	Luminal B	HER2-enriched	4	0.02531645569620253
pam50_included	multinomial_logistic_l2	Basal-like	Luminal A	0	0.0
pam50_included	multinomial_logistic_l2	Basal-like	Luminal B	0	0.0
pam50_included	multinomial_logistic_l2	Basal-like	Basal-like	133	0.9708029197080292
pam50_included	multinomial_logistic_l2	Basal-like	HER2-enriched	4	0.029197080291970802
pam50_included	multinomial_logistic_l2	HER2-enriched	Luminal A	1	0.016129032258064516
pam50_included	multinomial_logistic_l2	HER2-enriched	Luminal B	5	0.08064516129032258
pam50_included	multinomial_logistic_l2	HER2-enriched	Basal-like	0	0.0
pam50_included	multinomial_logistic_l2	HER2-enriched	HER2-enriched	56	0.9032258064516129
pam50_included	multinomial_logistic_elastic_net	Luminal A	Luminal A	356	0.8922305764411027
pam50_included	multinomial_logistic_elastic_net	Luminal A	Luminal B	37	0.09273182957393483
pam50_included	multinomial_logistic_elastic_net	Luminal A	Basal-like	0	0.0
pam50_included	multinomial_logistic_elastic_net	Luminal A	HER2-enriched	6	0.015037593984962405
pam50_included	multinomial_logistic_elastic_net	Luminal B	Luminal A	22	0.13924050632911392
pam50_included	multinomial_logistic_elastic_net	Luminal B	Luminal B	134	0.8481012658227848
pam50_included	multinomial_logistic_elastic_net	Luminal B	Basal-like	0	0.0
pam50_included	multinomial_logistic_elastic_net	Luminal B	HER2-enriched	2	0.012658227848101266
pam50_included	multinomial_logistic_elastic_net	Basal-like	Luminal A	0	0.0
pam50_included	multinomial_logistic_elastic_net	Basal-like	Luminal B	0	0.0
pam50_included	multinomial_logistic_elastic_net	Basal-like	Basal-like	134	0.9781021897810219
pam50_included	multinomial_logistic_elastic_net	Basal-like	HER2-enriched	3	0.021897810218978103
pam50_included	multinomial_logistic_elastic_net	HER2-enriched	Luminal A	1	0.016129032258064516
