feature_scheme	model	pam50_class	precision	recall	f1	support
pam50_included	dummy_prior	Luminal A	0.5277777777777778	1.0	0.6909090909090909	399
pam50_included	dummy_prior	Luminal B	0.0	0.0	0.0	158
pam50_included	dummy_prior	Basal-like	0.0	0.0	0.0	137
pam50_included	dummy_prior	HER2-enriched	0.0	0.0	0.0	62
pam50_included	multinomial_logistic_l2	Luminal A	0.9182058047493403	0.8721804511278195	0.8946015424164524	399
pam50_included	multinomial_logistic_l2	Luminal B	0.7151162790697675	0.7784810126582279	0.7454545454545455	158
pam50_included	multinomial_logistic_l2	Basal-like	0.9851851851851852	0.9708029197080292	0.9779411764705882	137
pam50_included	multinomial_logistic_l2	HER2-enriched	0.8	0.9032258064516129	0.8484848484848485	62
pam50_included	multinomial_logistic_elastic_net	Luminal A	0.9393139841688655	0.8922305764411027	0.9151670951156813	399
pam50_included	multinomial_logistic_elastic_net	Luminal B	0.7657142857142857	0.8481012658227848	0.8048048048048048	158
pam50_included	multinomial_logistic_elastic_net	Basal-like	0.9852941176470589	0.9781021897810219	0.9816849816849816	137
pam50_included	multinomial_logistic_elastic_net	HER2-enriched	0.8333333333333334	0.8870967741935484	0.859375	62
pam50_included	linear_svc	Luminal A	0.9278074866310161	0.8696741854636592	0.8978007761966365	399
pam50_included	linear_svc	Luminal B	0.7231638418079096	0.810126582278481	0.764179104477612	158
pam50_included	linear_svc	Basal-like	0.9925925925925926	0.9781021897810219	0.9852941176470589	137
pam50_included	linear_svc	HER2-enriched	0.8	0.9032258064516129	0.8484848484848485	62
pam50_included	random_forest	Luminal A	0.9509043927648578	0.9223057644110275	0.9363867684478372	399
pam50_included	random_forest	Luminal B	0.7840909090909091	0.8734177215189873	0.8263473053892215	158
pam50_included	random_forest	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
pam50_included	random_forest	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
pam50_excluded	dummy_prior	Luminal A	0.5277777777777778	1.0	0.6909090909090909	399
pam50_excluded	dummy_prior	Luminal B	0.0	0.0	0.0	158
pam50_excluded	dummy_prior	Basal-like	0.0	0.0	0.0	137
pam50_excluded	dummy_prior	HER2-enriched	0.0	0.0	0.0	62
pam50_excluded	multinomial_logistic_l2	Luminal A	0.9109947643979057	0.8721804511278195	0.8911651728553137	399
pam50_excluded	multinomial_logistic_l2	Luminal B	0.7142857142857143	0.7911392405063291	0.7507507507507507	158
pam50_excluded	multinomial_logistic_l2	Basal-like	1.0	0.9708029197080292	0.9851851851851852	137
pam50_excluded	multinomial_logistic_l2	HER2-enriched	0.8333333333333334	0.8870967741935484	0.859375	62
pam50_excluded	multinomial_logistic_elastic_net	Luminal A	0.9133858267716536	0.8721804511278195	0.8923076923076924	399
pam50_excluded	multinomial_logistic_elastic_net	Luminal B	0.7209302325581395	0.7848101265822784	0.7515151515151515	158
pam50_excluded	multinomial_logistic_elastic_net	Basal-like	0.9925373134328358	0.9708029197080292	0.981549815498155	137
pam50_excluded	multinomial_logistic_elastic_net	HER2-enriched	0.7971014492753623	0.8870967741935484	0.8396946564885496	62
pam50_excluded	linear_svc	Luminal A	0.9202127659574468	0.8671679197994987	0.8929032258064517	399
pam50_excluded	linear_svc	Luminal B	0.7062146892655368	0.7911392405063291	0.746268656716418	158
pam50_excluded	linear_svc	Basal-like	0.9925925925925926	0.9781021897810219	0.9852941176470589	137
pam50_excluded	linear_svc	HER2-enriched	0.8235294117647058	0.9032258064516129	0.8615384615384616	62
pam50_excluded	random_forest	Luminal A	0.9407216494845361	0.9147869674185464	0.9275730622617535	399
pam50_excluded	random_forest	Luminal B	0.7941176470588235	0.8544303797468354	0.823170731707317	158
pam50_excluded	random_forest	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
pam50_excluded	random_forest	HER2-enriched	0.8709677419354839	0.8709677419354839	0.8709677419354839	62
