model	metric	direction	mean_paired_difference	std_paired_difference	folds_excluded_higher	folds_equal	folds_included_higher
dummy_prior	macro_f1	pam50_excluded_minus_included	0.0	0.0	0	5	0
dummy_prior	balanced_accuracy	pam50_excluded_minus_included	0.0	0.0	0	5	0
dummy_prior	macro_ovr_roc_auc	pam50_excluded_minus_included	0.0	0.0	0	5	0
dummy_prior	macro_average_precision	pam50_excluded_minus_included	0.0	0.0	0	5	0
multinomial_logistic_l2	macro_f1	pam50_excluded_minus_included	0.004655021317369834	0.03885062442388371	2	0	3
multinomial_logistic_l2	balanced_accuracy	pam50_excluded_minus_included	-0.0011424731182795966	0.03597846609043771	2	0	3
multinomial_logistic_l2	macro_ovr_roc_auc	pam50_excluded_minus_included	-0.0015868655485239858	0.0033263484001235947	2	0	3
multinomial_logistic_l2	macro_average_precision	pam50_excluded_minus_included	-0.004460932694131748	0.007276096768015997	2	0	3
multinomial_logistic_elastic_net	macro_f1	pam50_excluded_minus_included	-0.024204369403516002	0.031119746872104437	1	0	4
multinomial_logistic_elastic_net	balanced_accuracy	pam50_excluded_minus_included	-0.0224400891744706	0.034219458756793365	1	0	4
multinomial_logistic_elastic_net	macro_ovr_roc_auc	pam50_excluded_minus_included	-0.00921606894944842	0.004171929227785033	0	0	5
multinomial_logistic_elastic_net	macro_average_precision	pam50_excluded_minus_included	-0.023089725169347285	0.009798449437761878	0	0	5
linear_svc	macro_f1	pam50_excluded_minus_included	-0.0007765126393185273	0.02815328994611115	2	1	2
linear_svc	balanced_accuracy	pam50_excluded_minus_included	-0.005405395059207807	0.04816983871613341	1	1	3
linear_svc	macro_ovr_roc_auc	pam50_excluded_minus_included	-0.0020859779662936394	0.002555895246129234	1	0	4
linear_svc	macro_average_precision	pam50_excluded_minus_included	-0.005622531670371989	0.004695555060163	0	0	5
random_forest	macro_f1	pam50_excluded_minus_included	-0.0023134721604878726	0.010377127150223948	2	0	3
random_forest	balanced_accuracy	pam50_excluded_minus_included	0.001407828679419132	0.013905604550341748	3	0	2
random_forest	macro_ovr_roc_auc	pam50_excluded_minus_included	-0.0025580498270823203	0.0012439037056535438	0	0	5
random_forest	macro_average_precision	pam50_excluded_minus_included	-0.00765849186086367	0.006038579248745351	1	0	4
