scenario	outer_fold	candidate_gene_count	low_expression_pass_genes	selected_genes
four_class_tpm_primary	1	19962	15174	2000
four_class_tpm_primary	2	19962	15170	2000
four_class_tpm_primary	3	19962	15184	2000
four_class_tpm_primary	4	19962	15192	2000
four_class_tpm_primary	5	19962	15187	2000
five_class_tpm_primary	1	19962	15186	2000
five_class_tpm_primary	2	19962	15198	2000
five_class_tpm_primary	3	19962	15191	2000
five_class_tpm_primary	4	19962	15198	2000
five_class_tpm_primary	5	19962	15201	2000
four_class_pam50_excluded	1	19912	15125	2000
four_class_pam50_excluded	2	19912	15121	2000
four_class_pam50_excluded	3	19912	15135	2000
four_class_pam50_excluded	4	19912	15143	2000
four_class_pam50_excluded	5	19912	15138	2000
four_class_log2_cpm	1	19962	15156	2000
four_class_log2_cpm	2	19962	15141	2000
four_class_log2_cpm	3	19962	15151	2000
four_class_log2_cpm	4	19962	15159	2000
four_class_log2_cpm	5	19962	15144	2000
four_class_filter_tpm0_5_frac0_10	1	19962	15951	2000
four_class_filter_tpm0_5_frac0_10	2	19962	15951	2000
four_class_filter_tpm0_5_frac0_10	3	19962	15950	2000
four_class_filter_tpm0_5_frac0_10	4	19962	15959	2000
four_class_filter_tpm0_5_frac0_10	5	19962	15943	2000
four_class_filter_tpm1_frac0_20	1	19962	14482	2000
four_class_filter_tpm1_frac0_20	2	19962	14466	2000
four_class_filter_tpm1_frac0_20	3	19962	14474	2000
four_class_filter_tpm1_frac0_20	4	19962	14482	2000
four_class_filter_tpm1_frac0_20	5	19962	14480	2000
four_class_filter_tpm5_frac0_10	1	19962	12883	2000
four_class_filter_tpm5_frac0_10	2	19962	12880	2000
four_class_filter_tpm5_frac0_10	3	19962	12890	2000
four_class_filter_tpm5_frac0_10	4	19962	12900	2000
four_class_filter_tpm5_frac0_10	5	19962	12898	2000
four_class_unweighted	1	19962	15174	2000
four_class_unweighted	2	19962	15170	2000
four_class_unweighted	3	19962	15184	2000
four_class_unweighted	4	19962	15192	2000
four_class_unweighted	5	19962	15187	2000
four_class_pam50_only	1	50	49	49
four_class_pam50_only	2	50	49	49
four_class_pam50_only	3	50	49	49
four_class_pam50_only	4	50	49	49
four_class_pam50_only	5	50	49	49
four_class_seed_20260909_patient_grouped	1	19962	15184	2000
four_class_seed_20260909_patient_grouped	2	19962	15170	2000
four_class_seed_20260909_patient_grouped	3	19962	15163	2000
four_class_seed_20260909_patient_grouped	4	19962	15202	2000
four_class_seed_20260909_patient_grouped	5	19962	15190	2000
four_class_seed_20260910_patient_grouped	1	19962	15186	2000
four_class_seed_20260910_patient_grouped	2	19962	15194	2000
four_class_seed_20260910_patient_grouped	3	19962	15184	2000
four_class_seed_20260910_patient_grouped	4	19962	15175	2000
four_class_seed_20260910_patient_grouped	5	19962	15170	2000
four_class_seed_20260911_patient_grouped	1	19962	15186	2000
four_class_seed_20260911_patient_grouped	2	19962	15189	2000
four_class_seed_20260911_patient_grouped	3	19962	15177	2000
four_class_seed_20260911_patient_grouped	4	19962	15177	2000
four_class_seed_20260911_patient_grouped	5	19962	15188	2000
four_class_seed_20260909_sample_stratified	1	19962	15174	2000
four_class_seed_20260909_sample_stratified	2	19962	15170	2000
four_class_seed_20260909_sample_stratified	3	19962	15184	2000
four_class_seed_20260909_sample_stratified	4	19962	15192	2000
four_class_seed_20260909_sample_stratified	5	19962	15187	2000
