scenario	display_name	comparison_family	cohort	matrix_kind	feature_scheme	class_weight	abundance_threshold	minimum_fraction	split_scheme	split_seed	outer_fold	outer_train_n	outer_validation_n	candidate_gene_count	low_expression_pass_genes	selected_genes	macro_f1	balanced_accuracy	accuracy	macro_ovr_roc_auc	macro_average_precision	multiclass_log_loss	warning_count
four_class_tpm_primary	4-class · TPM · primary	reference	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	1	604	152	19962	15174	2000	0.8848013669857057	0.8792460563629919	0.9013157894736842	0.9841120709409523	0.9479404572354954	0.3798321471497898	0
four_class_tpm_primary	4-class · TPM · primary	reference	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	2	605	151	19962	15170	2000	0.9248216501240696	0.9375	0.9271523178807947	0.9888172026144028	0.9675414174624487	0.3471195640753564	0
four_class_tpm_primary	4-class · TPM · primary	reference	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	3	605	151	19962	15184	2000	0.9022242642430955	0.8942708333333333	0.9006622516556292	0.9791531253042305	0.9399957520621277	0.37166536272878653	0
four_class_tpm_primary	4-class · TPM · primary	reference	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	4	605	151	19962	15192	2000	0.856749161543682	0.8568865740740741	0.9072847682119205	0.9864955278762099	0.9329414166021743	0.3822952434934768	0
four_class_tpm_primary	4-class · TPM · primary	reference	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	5	605	151	19962	15187	2000	0.9550837076357697	0.9550837076357697	0.9470198675496688	0.9923484925820063	0.9806200913657229	0.35172501166293973	0
five_class_tpm_primary	5-class · TPM · primary	class_definition	five_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	1	628	157	19962	15186	2000	0.8460980570572179	0.8194913151364764	0.9044585987261147	0.98361082697122	0.9045289717075397	0.45486433044114427	0
five_class_tpm_primary	5-class · TPM · primary	class_definition	five_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	2	628	157	19962	15198	2000	0.816702279918613	0.8141666666666666	0.8980891719745223	0.9844173056866252	0.9003341199392756	0.4357773402713062	0
five_class_tpm_primary	5-class · TPM · primary	class_definition	five_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	3	628	157	19962	15191	2000	0.7843488649940262	0.7759259259259259	0.8662420382165605	0.973795384860925	0.8230220359768445	0.48224844433338376	0
five_class_tpm_primary	5-class · TPM · primary	class_definition	five_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	4	628	157	19962	15198	2000	0.7537586103623839	0.7307738095238095	0.8980891719745223	0.9811161925234828	0.8617026292097585	0.4506021691561541	0
five_class_tpm_primary	5-class · TPM · primary	class_definition	five_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	5	628	157	19962	15201	2000	0.884428584887884	0.85761535320539	0.9235668789808917	0.9924554122281807	0.9581949959352611	0.4355926398745716	0
