scenario	pam50_class	precision	recall	f1	support
four_class_tpm_primary	Luminal A	0.9509043927648578	0.9223057644110275	0.9363867684478372	399
four_class_tpm_primary	Luminal B	0.7840909090909091	0.8734177215189873	0.8263473053892215	158
four_class_tpm_primary	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_tpm_primary	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
five_class_tpm_primary	Luminal A	0.9316455696202531	0.9223057644110275	0.9269521410579346	399
five_class_tpm_primary	Luminal B	0.7897727272727273	0.879746835443038	0.8323353293413174	158
five_class_tpm_primary	Basal-like	0.9574468085106383	0.9854014598540146	0.9712230215827338	137
five_class_tpm_primary	HER2-enriched	0.8813559322033898	0.8387096774193549	0.859504132231405	62
five_class_tpm_primary	Normal-like	0.7857142857142857	0.3793103448275862	0.5116279069767442	29
four_class_pam50_excluded	Luminal A	0.9411764705882353	0.9223057644110275	0.9316455696202531	399
four_class_pam50_excluded	Luminal B	0.7941176470588235	0.8544303797468354	0.823170731707317	158
four_class_pam50_excluded	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_pam50_excluded	HER2-enriched	0.8813559322033898	0.8387096774193549	0.859504132231405	62
four_class_log2_cpm	Luminal A	0.9417721518987342	0.9323308270676691	0.9370277078085643	399
four_class_log2_cpm	Luminal B	0.8132530120481928	0.8544303797468354	0.8333333333333334	158
four_class_log2_cpm	Basal-like	1.0	0.9854014598540146	0.9926470588235294	137
four_class_log2_cpm	HER2-enriched	0.9	0.8709677419354839	0.8852459016393442	62
four_class_filter_tpm0_5_frac0_10	Luminal A	0.9537275064267352	0.9298245614035088	0.9416243654822335	399
four_class_filter_tpm0_5_frac0_10	Luminal B	0.7988505747126436	0.879746835443038	0.8373493975903614	158
four_class_filter_tpm0_5_frac0_10	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_filter_tpm0_5_frac0_10	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
four_class_filter_tpm1_frac0_20	Luminal A	0.9511568123393316	0.9273182957393483	0.9390862944162437	399
four_class_filter_tpm1_frac0_20	Luminal B	0.7976878612716763	0.8734177215189873	0.8338368580060423	158
four_class_filter_tpm1_frac0_20	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_filter_tpm1_frac0_20	HER2-enriched	0.896551724137931	0.8387096774193549	0.8666666666666667	62
four_class_filter_tpm5_frac0_10	Luminal A	0.9462915601023018	0.9273182957393483	0.9367088607594937	399
four_class_filter_tpm5_frac0_10	Luminal B	0.7965116279069767	0.8670886075949367	0.8303030303030303	158
four_class_filter_tpm5_frac0_10	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_filter_tpm5_frac0_10	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
four_class_unweighted	Luminal A	0.8758465011286681	0.9724310776942355	0.9216152019002375	399
four_class_unweighted	Luminal B	0.8503937007874016	0.6835443037974683	0.7578947368421053	158
four_class_unweighted	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_unweighted	HER2-enriched	0.96	0.7741935483870968	0.8571428571428571	62
four_class_pam50_only	Luminal A	0.9534883720930233	0.924812030075188	0.9389312977099237	399
four_class_pam50_only	Luminal B	0.8081395348837209	0.879746835443038	0.8424242424242424	158
four_class_pam50_only	Basal-like	0.9927007299270073	0.9927007299270073	0.9927007299270073	137
four_class_pam50_only	HER2-enriched	0.9166666666666666	0.8870967741935484	0.9016393442622951	62
four_class_seed_20260909_patient_grouped	Luminal A	0.9553805774278216	0.9122807017543859	0.9333333333333333	399
four_class_seed_20260909_patient_grouped	Luminal B	0.7692307692307693	0.8860759493670886	0.8235294117647058	158
four_class_seed_20260909_patient_grouped	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_seed_20260909_patient_grouped	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
four_class_seed_20260910_patient_grouped	Luminal A	0.9607329842931938	0.9197994987468672	0.939820742637644	399
four_class_seed_20260910_patient_grouped	Luminal B	0.7845303867403315	0.8987341772151899	0.8377581120943953	158
four_class_seed_20260910_patient_grouped	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_seed_20260910_patient_grouped	HER2-enriched	0.8947368421052632	0.8225806451612904	0.8571428571428571	62
four_class_seed_20260911_patient_grouped	Luminal A	0.9533678756476683	0.9223057644110275	0.9375796178343949	399
four_class_seed_20260911_patient_grouped	Luminal B	0.7853107344632768	0.879746835443038	0.8298507462686567	158
four_class_seed_20260911_patient_grouped	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_seed_20260911_patient_grouped	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
four_class_seed_20260909_sample_stratified	Luminal A	0.9509043927648578	0.9223057644110275	0.9363867684478372	399
four_class_seed_20260909_sample_stratified	Luminal B	0.7840909090909091	0.8734177215189873	0.8263473053892215	158
four_class_seed_20260909_sample_stratified	Basal-like	0.9926470588235294	0.9854014598540146	0.989010989010989	137
four_class_seed_20260909_sample_stratified	HER2-enriched	0.9122807017543859	0.8387096774193549	0.8739495798319328	62
