scenario	display_name	comparison_family	cohort	matrix_kind	feature_scheme	class_weight	abundance_threshold	minimum_fraction	split_scheme	split_seed	folds	development_n	macro_f1_mean	macro_f1_std	macro_f1_min	macro_f1_max	balanced_accuracy_mean	balanced_accuracy_std	balanced_accuracy_min	balanced_accuracy_max	accuracy_mean	accuracy_std	accuracy_min	accuracy_max	macro_ovr_roc_auc_mean	macro_ovr_roc_auc_std	macro_ovr_roc_auc_min	macro_ovr_roc_auc_max	macro_average_precision_mean	macro_average_precision_std	macro_average_precision_min	macro_average_precision_max	multiclass_log_loss_mean	multiclass_log_loss_std	multiclass_log_loss_min	multiclass_log_loss_max	low_expression_pass_genes_mean	low_expression_pass_genes_std	low_expression_pass_genes_min	low_expression_pass_genes_max	selected_genes_mean	selected_genes_std	selected_genes_min	selected_genes_max	delta_macro_f1_mean_vs_reference	delta_balanced_accuracy_mean_vs_reference	delta_accuracy_mean_vs_reference	delta_macro_ovr_roc_auc_mean_vs_reference	delta_macro_average_precision_mean_vs_reference
four_class_tpm_primary	4-class · TPM · primary	reference	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	5	756	0.9047360301064644	0.03756580918880492	0.856749161543682	0.9550837076357696	0.9045974342812337	0.04079552628446063	0.8568865740740741	0.9550837076357696	0.9166869989543395	0.02006909544095935	0.9006622516556292	0.9470198675496688	0.9861852838635604	0.004968849343449061	0.9791531253042304	0.9923484925820064	0.9538078269455939	0.019799719394103688	0.9329414166021744	0.9806200913657228	0.36652746582206985	0.01618498256018818	0.3471195640753564	0.3822952434934768	15181.4	9.154233993076646	15170.0	15192.0	2000.0	0.0	2000.0	2000.0	0.0	0.0	0.0	0.0	0.0
five_class_tpm_primary	5-class · TPM · primary	class_definition	five_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	5	785	0.817067279444025	0.05113449659865566	0.7537586103623839	0.884428584887884	0.7995946140916537	0.04814337840469885	0.7307738095238095	0.85761535320539	0.8980891719745223	0.02063930158728615	0.8662420382165605	0.9235668789808916	0.9830790244540868	0.006708746744890086	0.973795384860925	0.9924554122281808	0.889556550553736	0.050631630789652333	0.8230220359768445	0.9581949959352613	0.45181698481531196	0.01908753118336179	0.4355926398745716	0.4822484443333837	15194.8	6.1400325732035	15186.0	15201.0	2000.0	0.0	2000.0	2000.0	-0.0876687506624394	-0.10500282018958007	-0.018597826979817156	-0.0031062594094736218	-0.0642512763918579
four_class_pam50_excluded	4-class · PAM50 excluded	pam50_inclusion	four_class	log2_tpm	whole_transcriptome_excluded	balanced	1.0	0.1	locked_patient_grouped	20260909	5	756	0.8992867685156727	0.03558600400993536	0.8575718235266986	0.9489638107021344	0.899809127829621	0.03631823539568224	0.8646990740740741	0.9470191915067374	0.9127134890205648	0.01999202938099511	0.8874172185430463	0.9403973509933776	0.9835526006522439	0.0063950578570427805	0.9742041462699176	0.9906591692754412	0.948623283696751	0.022490910866940977	0.930765269674978	0.9808766043938768	0.3950324185888362	0.014273215507115446	0.3749442044423949	0.4085860384502756	15132.4	9.154233993076646	15121.0	15143.0	2000.0	0.0	2000.0	2000.0	-0.005449261590791732	-0.004788306451612767	-0.003973509933774655	-0.002632683211316489	-0.005184543248842877
four_class_log2_cpm	4-class · log2 CPM	normalization	four_class	log2_cpm	whole_transcriptome_included	balanced	1.0	0.1	locked_patient_grouped	20260909	5	756	0.9114871775659333	0.03066876555433744	0.8833549142927611	0.96030518610166	0.9107007757811658	0.03155291333626978	0.8774315402339596	0.958248264597795	0.9206517950505402	0.019204831477254703	0.9072847682119204	0.9536423841059604	0.9877439145630209	0.0050172491889615796	0.9813485425264948	0.9923911687310012	0.9584032823369213	0.019734224277046453	0.9391492939664682	0.9823879184950884	0.3585716845562826	0.01920026190615346	0.3352979658470342	0.3803344793941488	15150.2	7.661592523751182	15141.0	15159.0	2000.0	0.0	2000.0	2000.0	0.00675114745946892	0.00610334149993208	0.003964796096200707	0.0015586306994604948	0.004595455391327441
four_class_filter_tpm0_5_frac0_10	4-class · TPM≥0.5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	0.5	0.1	locked_patient_grouped	20260909	5	756	0.90873433568517	0.038601157543641344	0.8621857151268916	0.96030518610166	0.9079924424478325	0.0419516931526601	0.8646990740740741	0.958248264597795	0.9219850121993727	0.02150437587013255	0.9013157894736842	0.9536423841059604	0.9868608433427557	0.005003963446401482	0.979960627603965	0.9933514529740032	0.9529444934387487	0.021735348825390785	0.9279917051782496	0.9828461477253992	0.364211176014349	0.013853208756392496	0.3482785121956303	0.3772762226755731	15950.8	5.674504383644443	15943.0	15959.0	2000.0	0.0	2000.0	2000.0	0.003998305578705619	0.0033950081665987675	0.005298013245033206	0.0006755594791952868	-0.0008633335068451986
four_class_filter_tpm1_frac0_20	4-class · TPM≥1 in 20%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.2	locked_patient_grouped	20260909	5	756	0.9056154725802721	0.043382049257393335	0.856749161543682	0.9610757254069356	0.9057970310554273	0.04795063479222308	0.8568865740740741	0.963148223764802	0.9193447194144302	0.026074737534250006	0.8947368421052632	0.9536423841059604	0.9869369277321614	0.004963729250954392	0.9806974093911048	0.9936293441767616	0.9521364983750169	0.0218510635156434	0.9284029317143536	0.9822915200035356	0.3639312532884472	0.015190359607674246	0.3459875476846503	0.3799659227183404	14476.8	6.870225614927067	14466.0	14482.0	2000.0	0.0	2000.0	2000.0	0.0008794424738076678	0.0011995967741935676	0.002657720460090718	0.0007516438686009375	-0.0016713285705769465
four_class_filter_tpm5_frac0_10	4-class · TPM≥5 in 10%	low_expression_filter	four_class	log2_tpm	whole_transcriptome_included	balanced	5.0	0.1	locked_patient_grouped	20260909	5	756	0.9058149289286701	0.042178690654550564	0.8673219861899106	0.9663127807268272	0.9042424424478324	0.04836749893784291	0.8631170241049273	0.9663127807268272	0.9180289299407459	0.031094294925768734	0.8874172185430463	0.9602649006622516	0.9872465819202739	0.004863208760329381	0.980208614724388	0.9925902295721608	0.9551599149977358	0.016864662816515243	0.9385963068788286	0.9810161524437776	0.36209722826186386	0.01051828230292407	0.3500005407599452	0.3703025231017901	12890.2	8.843076387773658	12880.0	12900.0	2000.0	0.0	2000.0	2000.0	0.0010788988222056872	-0.00035499183340137463	0.0013419309864064477	0.001061298056713511	0.001352088052141931
four_class_unweighted	4-class · unweighted	class_weight	four_class	log2_tpm	whole_transcriptome_included	none	1.0	0.1	locked_patient_grouped	20260909	5	756	0.8783654673856498	0.03789898693485695	0.8363097664841288	0.9214833759590793	0.8532951759026177	0.039784624520997354	0.8140625	0.8979166666666667	0.8981526664342976	0.020700674411838205	0.8675496688741722	0.9205298013245032	0.9868457129124721	0.006705672192975287	0.9786106567905812	0.994645064879089	0.9529652067246726	0.029030835470646447	0.9281337825349943	0.9869299059996224	0.35203356021761095	0.01915388771783246	0.3274328112818974	0.3731945871746637	15181.4	9.154233993076646	15170.0	15192.0	2000.0	0.0	2000.0	2000.0	-0.026370562720814616	-0.05130225837861602	-0.018534332520041885	0.0006604290489117259	-0.0008426202209212974
four_class_pam50_only	4-class · PAM50 only	feature_space	four_class	log2_tpm	pam50_only	balanced	1.0	0.1	locked_patient_grouped	20260909	5	756	0.9168394875771886	0.034434708217530315	0.8589664339664339	0.9499545040946314	0.9204721147593238	0.03844431847493599	0.853761574074074	0.9519191506737444	0.924599163471593	0.015268486056479036	0.9006622516556292	0.9403973509933776	0.9907235353688719	0.0036257373011902867	0.9858839864727936	0.9951511868679987	0.9688341483631857	0.013896732736880716	0.9512830736121412	0.9806029704551148	0.2626517127183542	0.018461373474533513	0.2472392365182766	0.2842538710987848	49.0	0.0	49.0	49.0	49.0	0.0	49.0	49.0	0.012103457470724166	0.015874680478090042	0.007912164517253517	0.004538251505311508	0.015026321417591859
four_class_seed_20260909_patient_grouped	4-class · grouped seed 20260909	random_seed	four_class	log2_tpm	whole_transcriptome_included	balanced	1.0	0.1	generated_patient_grouped	20260909	5	756	0.9045924541397173	0.03433215952922368	0.857991080463758	0.942726387536514	0.9054925438759402	0.03740606346411734	0.8501129918468628	0.9429771505376344	0.9140641338445452	0.022169859196533154	0.881578947368421	0.9403973509933776	0.9867326483242238	0.006563240815482501	0.9751850664290388	0.9908387374607356	0.9521561355855314	0.020307678860893984	0.9170131364177708	0.9675343138059114	0.368888179658666	0.028603767756724206	0.3305964650890353	0.4067786050875283	15181.8	15.594870951694343	15163.0	15202.0	2000.0	0.0	2000.0	2000.0	-0.00014357596674707818	0.0008951095947065113	-0.002622865109794259	0.000547364460663391	-0.0016516913600624905
