scenario	split_scheme	split_seed	outer_fold	train_samples	validation_samples	train_cases	validation_cases	patient_overlap_count	maximum_samples_per_case
four_class_tpm_primary	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_tpm_primary	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_tpm_primary	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_tpm_primary	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_tpm_primary	locked_patient_grouped	20260909	5	605	151	605	151	0	1
five_class_tpm_primary	locked_patient_grouped	20260909	1	628	157	628	157	0	1
five_class_tpm_primary	locked_patient_grouped	20260909	2	628	157	628	157	0	1
five_class_tpm_primary	locked_patient_grouped	20260909	3	628	157	628	157	0	1
five_class_tpm_primary	locked_patient_grouped	20260909	4	628	157	628	157	0	1
five_class_tpm_primary	locked_patient_grouped	20260909	5	628	157	628	157	0	1
four_class_pam50_excluded	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_pam50_excluded	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_pam50_excluded	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_pam50_excluded	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_pam50_excluded	locked_patient_grouped	20260909	5	605	151	605	151	0	1
four_class_log2_cpm	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_log2_cpm	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_log2_cpm	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_log2_cpm	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_log2_cpm	locked_patient_grouped	20260909	5	605	151	605	151	0	1
four_class_filter_tpm0_5_frac0_10	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_filter_tpm0_5_frac0_10	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_filter_tpm0_5_frac0_10	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_filter_tpm0_5_frac0_10	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_filter_tpm0_5_frac0_10	locked_patient_grouped	20260909	5	605	151	605	151	0	1
four_class_filter_tpm1_frac0_20	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_filter_tpm1_frac0_20	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_filter_tpm1_frac0_20	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_filter_tpm1_frac0_20	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_filter_tpm1_frac0_20	locked_patient_grouped	20260909	5	605	151	605	151	0	1
four_class_filter_tpm5_frac0_10	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_filter_tpm5_frac0_10	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_filter_tpm5_frac0_10	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_filter_tpm5_frac0_10	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_filter_tpm5_frac0_10	locked_patient_grouped	20260909	5	605	151	605	151	0	1
four_class_unweighted	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_unweighted	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_unweighted	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_unweighted	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_unweighted	locked_patient_grouped	20260909	5	605	151	605	151	0	1
four_class_pam50_only	locked_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_pam50_only	locked_patient_grouped	20260909	2	605	151	605	151	0	1
four_class_pam50_only	locked_patient_grouped	20260909	3	605	151	605	151	0	1
four_class_pam50_only	locked_patient_grouped	20260909	4	605	151	605	151	0	1
four_class_pam50_only	locked_patient_grouped	20260909	5	605	151	605	151	0	1
four_class_seed_20260909_patient_grouped	generated_patient_grouped	20260909	1	604	152	604	152	0	1
four_class_seed_20260909_patient_grouped	generated_patient_grouped	20260909	2	605	151	605	151	0	1
